,,Totals,,,,,,,,,,,,,,,,,Shooting,,,Advanced,,,,,Per Game,,,
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Rest,0 Days,13,13,372,78,188,29,79,19,23,7,44,85,11,3,27,19,204,0.415,0.367,0.826,0.515,25.8,108,116,-10.3,28.6,15.7,3.4,6.5
,1 Day,48,48,1479,420,938,143,390,103,126,28,189,328,59,12,166,91,1086,0.448,0.367,0.817,0.547,33.1,107,110,3.3,30.8,22.6,3.9,6.8
,2 Days,15,15,459,135,321,53,134,25,40,16,70,109,27,4,52,23,348,0.421,0.396,0.625,0.514,35.2,104,107,0.2,30.6,23.2,4.7,7.3
,3+ Days,4,4,113,23,61,8,28,12,14,2,10,36,2,1,6,7,66,0.377,0.286,0.857,0.491,28,116,116,2.2,28.2,16.5,2.5,9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Conference,Eastern,51,51,1508,415,933,130,372,110,135,36,189,333,56,12,157,87,1070,0.445,0.349,0.815,0.539,32.1,107,111,0.4,29.6,21,3.7,6.5
,Western,30,30,940,244,584,104,263,50,70,17,126,230,44,8,96,54,642,0.418,0.395,0.714,0.522,31.9,105,111,0.4,31.3,21.4,4.2,7.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Division,Atlantic,16,16,463,136,289,41,106,21,27,13,63,112,14,3,59,24,334,0.471,0.387,0.778,0.555,32.9,108,113,-0.3,28.9,20.9,3.9,7
,Central,17,17,523,124,309,40,129,46,58,15,67,106,21,4,49,31,334,0.401,0.31,0.793,0.499,30.9,103,110,1.6,30.8,19.6,3.9,6.2
,Northwest,10,10,315,75,200,33,86,21,33,6,43,65,14,0,34,11,204,0.375,0.384,0.636,0.475,33,94,114,-14,31.5,20.4,4.3,6.5
,Pacific,10,10,315,94,203,41,92,14,19,5,43,88,18,4,31,22,243,0.463,0.446,0.737,0.575,32,116,108,13.8,31.5,24.3,4.3,8.8
,Southeast,18,18,521,155,335,49,137,43,50,8,59,115,21,5,49,32,402,0.463,0.358,0.86,0.563,32.7,111,110,0,29,22.3,3.3,6.4
,Southwest,10,10,310,75,181,30,85,15,18,6,40,77,12,4,31,21,195,0.414,0.353,0.833,0.516,30.8,106,111,1.3,31,19.5,4,7.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Opponent,Atlanta,3,3,86,30,62,9,25,4,6,2,12,17,4,0,4,5,73,0.484,0.36,0.667,0.565,31.5,120,112,12,28.6,24.3,4,5.7
,Boston,4,4,114,37,76,16,36,3,5,3,11,26,6,1,20,8,93,0.487,0.444,0.6,0.595,36.2,105,105,-0.4,28.4,23.3,2.8,6.5
,Chicago,4,4,132,34,76,10,36,16,18,1,12,21,6,0,7,6,94,0.447,0.278,0.889,0.56,30.3,110,109,3.6,33.1,23.5,3,5.3
,Charlotte,4,4,125,43,97,11,39,14,14,1,7,22,3,3,12,8,111,0.443,0.282,1,0.538,41,107,117,-15.2,31.2,27.8,1.8,5.5
,Cleveland,4,4,135,40,95,15,42,14,19,5,20,27,5,0,14,13,109,0.421,0.357,0.737,0.527,37.2,107,106,11.3,33.7,27.3,5,6.8
,Dallas,2,2,48,12,31,4,17,2,2,0,7,15,2,0,4,6,30,0.387,0.235,1,0.471,32.1,108,104,7,23.9,15,3.5,7.5
,Denver,2,2,61,17,37,9,14,7,9,1,10,16,2,0,5,4,50,0.459,0.643,0.778,0.61,31.1,120,118,2.3,30.6,25,5,8
,Detroit,3,3,74,11,37,2,16,1,5,1,7,18,6,2,8,3,25,0.297,0.125,0.2,0.319,27.6,75,95,2.6,24.7,8.3,2.3,6
,Golden State,2,2,52,14,30,6,13,3,4,1,9,11,2,1,5,5,37,0.467,0.462,0.75,0.582,31.9,111,120,-7.3,26,18.5,4.5,5.5
,Houston,2,2,50,9,25,3,12,1,2,1,6,10,1,0,2,1,22,0.36,0.25,0.5,0.425,24.3,103,129,-32.2,25.1,11,3,5
,Indiana,3,3,86,13,39,4,13,5,5,5,15,22,0,2,10,3,35,0.333,0.308,1,0.425,25.6,99,121,-14.6,28.5,11.7,5,7.3
,LA Clippers,2,2,67,22,41,11,19,0,1,0,8,20,3,1,4,4,55,0.537,0.579,0,0.664,26.8,136,120,14.3,33.7,27.5,4,10
,LA Lakers,2,2,68,17,41,8,20,1,2,1,6,26,4,1,10,5,43,0.415,0.4,0.5,0.513,32.2,103,104,12.1,34,21.5,3,13
,Memphis,2,2,81,17,43,8,21,7,8,0,5,18,4,1,12,3,49,0.395,0.381,0.875,0.527,33,98,108,6.6,40.5,24.5,2.5,9
,Miami,4,4,99,26,61,11,26,0,0,3,20,24,7,1,8,5,63,0.426,0.423,,0.516,28.3,105,98,4.8,24.8,15.8,5,6
,Milwaukee,3,3,97,26,62,9,22,10,11,3,13,18,4,0,10,6,71,0.419,0.409,0.909,0.531,30.2,108,118,-0.9,32.2,23.7,4.3,6
,Minnesota,2,2,58,12,32,9,21,3,7,0,5,11,2,0,7,2,36,0.375,0.429,0.429,0.513,29.3,93,118,-9.3,29.2,18,2.5,5.5
,New Orleans,2,2,63,18,37,8,17,2,2,3,10,17,3,1,6,5,46,0.486,0.471,1,0.607,28.7,125,118,12.9,31.3,23,5,8.5
,New York,4,4,115,18,47,8,21,5,5,3,13,23,2,1,12,10,49,0.383,0.381,1,0.498,23,101,114,-0.9,28.7,12.3,3.3,5.8
,Oklahoma City,2,2,64,12,31,5,15,2,2,0,5,11,5,0,9,1,31,0.387,0.333,1,0.486,27.9,86,110,-14.9,31.8,15.5,2.5,5.5
,Orlando,3,3,99,33,63,14,28,8,9,1,9,23,3,1,9,5,88,0.524,0.5,0.889,0.657,31.7,124,108,10.1,33.1,29.3,3,7.7
,Philadelphia,4,4,109,37,78,6,21,4,6,4,14,29,2,1,12,2,84,0.474,0.286,0.667,0.521,35.2,109,119,-3.9,27.3,21,3.5,7.3
,Phoenix,2,2,58,12,33,3,11,6,6,1,12,11,4,0,7,5,33,0.364,0.273,1,0.463,31,94,92,18.3,28.9,16.5,6,5.5
,Portland,2,2,71,20,50,5,23,8,14,2,13,16,1,0,7,2,53,0.4,0.217,0.571,0.472,37.2,99,119,-25.4,35.5,26.5,6.5,8
,Sacramento,2,2,70,29,58,13,29,4,6,2,8,20,5,1,5,3,75,0.5,0.448,0.667,0.618,37.4,130,104,26.5,35.1,37.5,4,10
,San Antonio,2,2,69,19,45,7,18,3,4,2,12,17,2,2,7,6,48,0.422,0.389,0.75,0.513,34.1,101,99,4.8,34.4,24,6,8.5
,Toronto,4,4,126,44,88,11,28,9,11,3,25,34,4,0,15,4,108,0.5,0.393,0.818,0.582,36.8,114,112,3.4,31.4,27,6.3,8.5
,Utah,2,2,61,14,50,5,13,1,1,3,10,11,4,0,6,2,34,0.28,0.385,1,0.337,38.9,74,105,-20.4,30.3,17,5,5.5
,Washington,4,4,112,23,52,4,19,17,21,1,11,29,4,0,16,9,67,0.442,0.211,0.81,0.547,29,103,113,-6.5,28.1,16.8,2.8,7.3
