"Date","Team","Opponent","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","Def2ptRebounds","Def2ptReboundPct","Def3ptRebounds","Def3ptReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","Off2ptRebounds","Off2ptReboundPct","Off3ptRebounds","Off3ptReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct"
"2014-01-10","GSW","BOS","40:08",7,6,0,0,5,0.1724137931034483,1,0.1111111111111111,0.15789473684210525,1,0,0,1,0.029411764705882353,0,0,0.02127659574468085,0,0.21428571428571427,0.18181818181818182,0.2,0,0,0.09090909090909091,0,0,0
"2014-01-08","GSW","BKN","45:28",5,5,0,0,3,0.10344827586206896,2,0.15384615384615385,0.11904761904761904,0,0,0,0,0,0,0,0,0.2857142857142857,0,0.09090909090909091,0.25,0,0,0,0,0,0
"2014-01-07","GSW","MIL","36:14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-05","GSW","WAS","37:38",3,2,0,0,1,0.03225806451612903,1,0.1,0.04878048780487805,1,0,0,1,0.045454545454545456,0,0,0.034482758620689655,0,0,0.07142857142857142,0,0.5,0.1111111111111111,0,0,0,0
"2014-01-03","GSW","ATL","34:39",8,8,0,0,5,0.3125,3,0.16666666666666666,0.23529411764705882,0,0,0,0,0,0,0,0,0.3333333333333333,0.2222222222222222,0.5,0.1875,0,0,0,0,0,0
"2014-01-02","GSW","MIA","43:44",2,2,0,0,1,0.037037037037037035,1,0.1111111111111111,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.16666666666666666,0,0,0,0,0,0
"2013-12-31","GSW","ORL","29:35",5,5,0,0,5,0.19230769230769232,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0.6,0,0.15384615384615385,0,0,0,0,0,0,0
"2013-12-29","GSW","CLE","48:12",9,9,0,0,7,0.16279069767441862,2,0.4,0.1875,0,0,0,0,0,0,0,0,0.125,0.13333333333333333,0.25,0.4,0,0,0,0,0,0
"2013-12-27","GSW","PHX","33:34",13,10,0,0,6,0.20689655172413793,4,0.2857142857142857,0.23255813953488372,3,0,0,2,0.11764705882352941,1,0.125,0.12,0.3,0.2,0,0.25,0.5,0.125,0.16666666666666666,0,0.14285714285714285,0
"2013-12-25","GSW","LAC","42:29",6,5,0,0,3,0.1111111111111111,2,0.2,0.13513513513513514,1,0,0,0,0,1,0.08333333333333333,0.020833333333333332,0.5,0.06666666666666667,0.1,0.16666666666666666,0.25,0,0,0,0.09090909090909091,0
"2013-12-23","GSW","DEN","35:14",3,3,0,0,2,0.06896551724137931,1,0.16666666666666666,0.08571428571428572,0,0,0,0,0,0,0,0,0.1111111111111111,0,0.07142857142857142,0.2,0,0,0,0,0,0
"2013-12-21","GSW","LAL","32:46",6,5,0,0,3,0.0967741935483871,2,0.16666666666666666,0.11627906976744186,1,0,0,0,0,1,0.07692307692307693,0.024390243902439025,0,0,0.3333333333333333,0.18181818181818182,0,0,0,0,0.125,0
"2013-12-19","GSW","SAS","40:23",2,2,0,0,1,0.034482758620689655,1,0.09090909090909091,0.05,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.3333333333333333,0,0,0,0,0
"2013-12-17","GSW","NOP","32:40",4,3,0,0,3,0.0967741935483871,0,0,0.07894736842105263,1,0,0,0,0,1,0.08333333333333333,0.034482758620689655,0.18181818181818182,0,0.07142857142857142,0,0,0,0,0,0,0.3333333333333333
