date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,x,y,shot_description,game_score
2011-12-25,True,LAC,1,10:51,True,2,19,310,231,Made 2-pointer from 19 ft,GSW now leads 4-3
2011-12-25,True,LAC,1,09:22,False,3,24,6,102,Missed 3-pointer from 24 ft,GSW tied 6-6
2011-12-25,True,LAC,2,06:32,False,2,22,232,266,Missed 2-pointer from 22 ft,GSW trails 28-36
2011-12-25,True,LAC,2,03:22,False,3,26,69,245,Missed 3-pointer from 26 ft,GSW leads 37-36
2011-12-25,True,LAC,2,01:26,False,2,4,241,86,Missed 2-pointer from 4 ft,GSW leads 40-39
2011-12-25,True,LAC,3,11:13,False,3,26,224,311,Missed 3-pointer from 26 ft,GSW leads 43-41
2011-12-25,True,LAC,3,10:15,False,2,16,246,212,Missed 2-pointer from 16 ft,GSW tied 43-43
2011-12-25,True,LAC,3,05:16,True,2,18,244,233,Made 2-pointer from 18 ft,GSW now trails 53-60
2011-12-25,True,LAC,4,08:29,False,3,26,104,272,Missed 3-pointer from 26 ft,GSW trails 77-80
2011-12-25,True,LAC,4,05:09,False,2,17,324,196,Missed 2-pointer from 17 ft,GSW trails 82-89
2011-12-25,True,LAC,4,03:06,False,2,19,369,190,Missed 2-pointer from 19 ft,GSW trails 84-95
2011-12-25,True,LAC,4,01:50,False,2,19,176,229,Missed 2-pointer from 19 ft,GSW trails 84-99
2011-12-26,True,CHI,1,11:09,False,2,16,296,198,Missed 2-pointer from 16 ft,GSW tied 0-0
2011-12-26,True,CHI,2,09:42,True,3,23,8,40,Made 3-pointer from 23 ft,GSW now leads 37-23
2011-12-26,True,CHI,2,09:13,True,2,1,227,45,Made 2-pointer from 1 ft,GSW now leads 39-23
2011-12-26,True,CHI,2,08:27,True,2,15,173,182,Made 2-pointer from 15 ft,GSW now leads 41-27
2011-12-26,True,CHI,2,07:14,True,2,1,233,50,Made 2-pointer from 1 ft,GSW now leads 46-27
2011-12-26,True,CHI,3,06:49,False,3,25,83,248,Missed 3-pointer from 25 ft,GSW leads 67-51
2011-12-26,True,CHI,3,06:07,True,2,13,113,59,Made 2-pointer from 13 ft,GSW now leads 69-53
2011-12-26,True,CHI,3,02:52,True,2,18,110,181,Made 2-pointer from 18 ft,GSW now leads 75-59
2011-12-26,True,CHI,3,01:43,True,2,17,335,188,Made 2-pointer from 17 ft,GSW now leads 78-59
2011-12-26,True,CHI,3,01:06,False,2,9,219,139,Missed 2-pointer from 9 ft,GSW leads 78-59
2011-12-26,True,CHI,4,09:34,False,3,25,162,292,Missed 3-pointer from 25 ft,GSW leads 80-64
2011-12-26,True,CHI,4,05:54,False,2,4,224,86,Missed 2-pointer from 4 ft,GSW leads 89-74
2011-12-31,True,PHI,1,11:46,False,3,25,342,278,Missed 3-pointer from 25 ft,GSW tied 0-0
2011-12-31,True,PHI,1,10:58,True,3,26,14,174,Made 3-pointer from 26 ft,GSW now leads 3-2
2011-12-31,True,PHI,1,07:33,True,2,18,58,72,Made 2-pointer from 18 ft,GSW now leads 9-7
2011-12-31,True,PHI,1,06:45,True,2,3,252,75,Made 2-pointer from 3 ft,GSW now leads 11-7
2011-12-31,True,PHI,1,06:45,True,3,27,343,299,Made 3-pointer from 27 ft,GSW now leads 25-19
2011-12-31,True,PHI,2,11:26,False,3,29,91,304,Missed 3-pointer from 29 ft,GSW leads 25-22
2011-12-31,True,PHI,2,09:27,True,2,19,112,188,Made 2-pointer from 19 ft,GSW now leads 29-25
2011-12-31,True,PHI,2,05:14,True,3,27,63,253,Made 3-pointer from 27 ft,GSW now trails 36-37
2011-12-31,True,PHI,2,02:09,False,3,27,334,304,Missed 3-pointer from 27 ft,GSW trails 40-44
2011-12-31,True,PHI,3,08:29,False,3,26,264,304,Missed 3-pointer from 26 ft,GSW trails 43-61
2011-12-31,True,PHI,3,02:25,True,2,19,364,198,Made 2-pointer from 19 ft,GSW now trails 52-70
2011-12-31,True,PHI,3,01:55,False,3,28,69,269,Missed 3-pointer from 28 ft,GSW trails 52-72
2011-12-31,True,PHI,3,01:20,True,2,3,236,75,Made 2-pointer from 3 ft,GSW now trails 54-72
2011-12-31,True,PHI,4,11:42,False,2,20,372,206,Missed 2-pointer from 20 ft,GSW trails 54-72
2011-12-31,True,PHI,4,07:38,True,2,18,422,81,Made 2-pointer from 18 ft,GSW now trails 66-82
2012-01-02,False,PHO,1,09:26,True,2,21,406,184,Made 2-pointer from 21 ft,GSW now leads 8-7
2012-01-02,False,PHO,1,07:54,False,2,12,191,154,Missed 2-pointer from 12 ft,GSW trails 8-9
2012-01-02,False,PHO,2,10:43,False,2,9,154,67,Missed 2-pointer from 9 ft,GSW leads 30-27
2012-01-02,False,PHO,3,11:48,True,3,25,244,302,Made 3-pointer from 25 ft,GSW now trails 50-51
2012-01-02,False,PHO,3,09:35,True,3,24,6,83,Made 3-pointer from 24 ft,GSW now leads 53-51
2012-01-02,False,PHO,3,07:10,False,2,19,433,48,Missed 2-pointer from 19 ft,GSW leads 55-53
2012-01-02,False,PHO,4,02:41,False,3,25,364,264,Missed 3-pointer from 25 ft,GSW trails 83-91
2012-01-02,False,PHO,4,02:08,True,2,13,117,87,Made 2-pointer from 13 ft,GSW now trails 85-94
2012-01-04,False,SAS,1,09:09,True,2,17,389,125,Made 2-pointer from 17 ft,GSW now trails 4-6
2012-01-04,False,SAS,1,05:24,True,2,17,301,206,Made 2-pointer from 17 ft,GSW now leads 14-13
2012-01-04,False,SAS,1,03:54,True,2,17,373,149,Made 2-pointer from 17 ft,GSW now leads 16-15
2012-01-04,False,SAS,1,03:15,True,3,26,31,204,Made 3-pointer from 26 ft,GSW now leads 19-18
2012-01-04,False,SAS,2,10:27,False,3,25,61,220,Missed 3-pointer from 25 ft,GSW leads 28-23
2012-01-04,False,SAS,2,09:33,True,3,24,3,105,Made 3-pointer from 24 ft,GSW now leads 31-27
2012-01-04,False,SAS,2,04:45,True,3,23,468,45,Made 3-pointer from 23 ft,GSW now leads 43-35
2012-01-04,False,SAS,3,09:58,False,2,7,169,48,Missed 2-pointer from 7 ft,GSW leads 55-49
2012-01-04,False,SAS,3,08:08,False,2,18,416,50,Missed 2-pointer from 18 ft,GSW leads 60-56
2012-01-04,False,SAS,3,06:41,False,2,19,370,185,Missed 2-pointer from 19 ft,GSW leads 60-56
2012-01-04,False,SAS,3,04:15,True,2,18,282,228,Made 2-pointer from 18 ft,GSW now leads 62-61
2012-01-20,True,IND,1,08:14,False,3,25,427,210,Missed 3-pointer from 25 ft,GSW leads 7-4
2012-01-20,True,IND,1,06:52,False,2,13,257,177,Missed 2-pointer from 13 ft,GSW trails 9-10
2012-01-20,True,IND,1,05:50,False,2,2,253,61,Missed 2-pointer from 2 ft,GSW trails 9-13
2012-01-20,True,IND,2,08:47,False,3,26,280,304,Missed 3-pointer from 26 ft,GSW leads 28-27
2012-01-20,True,IND,2,07:34,True,2,20,82,176,Made 2-pointer from 20 ft,GSW now leads 33-27
2012-01-20,True,IND,2,06:34,True,3,26,318,300,Made 3-pointer from 26 ft,GSW now leads 36-31
2012-01-20,True,IND,2,05:05,False,2,2,232,67,Missed 2-pointer from 2 ft,GSW tied 36-36
2012-01-20,True,IND,2,04:17,False,2,20,321,228,Missed 2-pointer from 20 ft,GSW leads 38-36
2012-01-20,True,IND,3,09:03,False,2,23,274,278,Missed 2-pointer from 23 ft,GSW leads 48-46
2012-01-20,True,IND,3,08:43,False,2,10,323,102,Missed 2-pointer from 10 ft,GSW leads 48-46
2012-01-20,True,IND,4,04:24,True,2,19,101,185,Made 2-pointer from 19 ft,GSW now trails 80-83
2012-01-20,True,IND,4,03:47,True,2,19,143,215,Made 2-pointer from 19 ft,GSW now trails 82-85
2012-01-20,True,IND,4,03:15,True,3,25,346,281,Made 3-pointer from 25 ft,GSW now trails 85-87
2012-01-20,True,IND,4,02:31,False,3,26,339,288,Missed 3-pointer from 26 ft,GSW trails 85-87
2012-01-20,True,IND,4,02:31,False,3,29,74,289,Missed 3-pointer from 29 ft,GSW trails 91-94
2012-01-23,True,MEM,1,11:24,True,2,18,61,69,Made 2-pointer from 18 ft,GSW now tied 2-2
2012-01-23,True,MEM,1,05:24,True,3,26,249,310,Made 3-pointer from 26 ft,GSW now leads 14-7
2012-01-23,True,MEM,2,03:18,False,2,15,88,57,Missed 2-pointer from 15 ft,GSW leads 40-25
2012-01-23,True,MEM,2,03:12,False,2,16,126,169,Missed 2-pointer from 16 ft,GSW leads 40-25
2012-01-23,True,MEM,2,02:58,False,2,5,206,89,Missed 2-pointer from 5 ft,GSW leads 40-25
2012-01-23,True,MEM,2,02:45,False,3,27,184,310,Missed 3-pointer from 27 ft,GSW leads 40-25
2012-01-23,True,MEM,2,00:30,False,3,27,172,315,Missed 3-pointer from 27 ft,GSW leads 42-33
2012-01-23,True,MEM,2,00:30,True,2,2,217,50,Made 2-pointer from 2 ft,GSW now leads 44-35
2012-01-23,True,MEM,3,08:04,True,2,21,405,184,Made 2-pointer from 21 ft,GSW now leads 53-39
2012-01-23,True,MEM,3,06:34,False,3,26,421,239,Missed 3-pointer from 26 ft,GSW leads 55-41
2012-01-23,True,MEM,3,05:55,True,2,21,173,245,Made 2-pointer from 21 ft,GSW now leads 57-41
2012-01-23,True,MEM,3,00:30,True,3,26,359,285,Made 3-pointer from 26 ft,GSW now leads 68-50
2012-01-23,True,MEM,4,09:11,True,2,22,335,251,Made 2-pointer from 22 ft,GSW now leads 72-58
2012-01-23,True,MEM,4,04:55,False,2,1,232,61,Missed 2-pointer from 1 ft,GSW leads 78-69
2012-01-23,True,MEM,4,02:11,True,2,22,118,233,Made 2-pointer from 22 ft,GSW now leads 85-80
2012-01-23,True,MEM,4,01:10,False,2,22,277,264,Missed 2-pointer from 22 ft,GSW trails 85-86
2012-01-23,True,MEM,4,00:59,False,3,26,110,277,Missed 3-pointer from 26 ft,GSW trails 85-86
2012-01-23,True,MEM,4,00:59,False,3,27,208,315,Missed 3-pointer from 27 ft,GSW trails 85-89
2012-01-25,True,POR,1,09:44,True,2,20,395,169,Made 2-pointer from 20 ft,GSW now trails 2-4
2012-01-25,True,POR,1,08:33,False,2,15,312,177,Missed 2-pointer from 15 ft,GSW trails 4-7
2012-01-25,True,POR,1,06:28,True,3,25,457,169,Made 3-pointer from 25 ft,GSW now trails 11-13
2012-01-25,True,POR,1,01:29,True,2,0,238,54,Made 2-pointer from 0 ft,GSW now trails 21-23
2012-01-25,True,POR,1,01:01,True,3,23,9,51,Made 3-pointer from 23 ft,GSW now leads 24-23
2012-01-25,True,POR,1,00:40,False,3,27,229,321,Missed 3-pointer from 27 ft,GSW leads 24-23
2012-01-25,True,POR,2,03:57,True,2,22,298,263,Made 2-pointer from 22 ft,GSW now leads 44-42
2012-01-25,True,POR,2,02:09,False,2,14,301,176,Missed 2-pointer from 14 ft,GSW trails 44-47
2012-01-25,True,POR,3,10:59,True,3,24,474,78,Made 3-pointer from 24 ft,GSW now trails 54-56
2012-01-25,True,POR,3,08:29,False,2,14,305,177,Missed 2-pointer from 14 ft,GSW trails 57-60
2012-01-25,True,POR,3,06:43,True,2,22,128,245,Made 2-pointer from 22 ft,GSW now trails 62-65
2012-01-25,True,POR,3,06:04,True,3,25,447,193,Made 3-pointer from 25 ft,GSW now tied 65-65
2012-01-25,True,POR,3,04:51,True,2,16,387,114,Made 2-pointer from 16 ft,GSW now tied 67-67
2012-01-25,True,POR,3,02:55,True,3,25,408,234,Made 3-pointer from 25 ft,GSW now leads 72-70
2012-01-25,True,POR,3,01:48,True,3,27,277,315,Made 3-pointer from 27 ft,GSW now leads 75-70
2012-01-25,True,POR,3,01:23,False,2,2,242,65,Missed 2-pointer from 2 ft,GSW leads 75-70
2012-01-25,True,POR,3,00:29,False,3,25,296,296,Missed 3-pointer from 25 ft,GSW leads 77-73
2012-01-25,True,POR,4,02:59,True,2,20,402,173,Made 2-pointer from 20 ft,GSW now leads 95-88
2012-01-25,True,POR,4,00:35,False,2,1,249,59,Missed 2-pointer from 1 ft,GSW leads 97-91
2012-01-27,True,OKC,1,11:44,False,3,26,162,297,Missed 3-pointer from 26 ft,GSW tied 0-0
2012-01-27,True,OKC,1,09:58,False,2,4,214,81,Missed 2-pointer from 4 ft,GSW tied 3-3
2012-01-27,True,OKC,1,09:14,False,2,1,235,54,Missed 2-pointer from 1 ft,GSW tied 5-5
2012-01-27,True,OKC,1,07:56,False,3,26,109,275,Missed 3-pointer from 26 ft,GSW leads 7-6
2012-01-27,True,OKC,1,03:37,False,2,9,250,139,Missed 2-pointer from 9 ft,GSW trails 12-18
2012-01-27,True,OKC,3,09:20,False,3,24,5,47,Missed 3-pointer from 24 ft,GSW trails 52-59
2012-01-27,True,OKC,3,08:51,True,2,17,406,70,Made 2-pointer from 17 ft,GSW now trails 54-61
2012-01-27,True,OKC,3,08:07,True,2,0,244,51,Made 2-pointer from 0 ft,GSW now trails 56-61
2012-01-27,True,OKC,3,06:29,False,2,15,392,59,Missed 2-pointer from 15 ft,GSW trails 58-61
2012-01-27,True,OKC,3,05:37,True,3,24,0,57,Made 3-pointer from 24 ft,GSW now trails 61-63
2012-01-27,True,OKC,4,05:22,False,2,4,229,87,Missed 2-pointer from 4 ft,GSW trails 86-95
2012-01-27,True,OKC,4,02:40,True,2,21,348,228,Made 2-pointer from 21 ft,GSW now trails 96-106
2012-01-27,True,OKC,4,02:19,False,3,26,197,308,Missed 3-pointer from 26 ft,GSW trails 96-108
2012-01-27,True,OKC,4,01:28,True,3,25,465,169,Made 3-pointer from 25 ft,GSW now trails 102-111
2012-01-27,True,OKC,4,00:28,True,2,1,238,57,Made 2-pointer from 1 ft,GSW now trails 109-118
2012-01-27,True,OKC,4,00:19,False,3,27,287,319,Missed 3-pointer from 27 ft,GSW trails 109-120
2012-01-31,True,SAC,1,04:36,False,2,18,137,196,Missed 2-pointer from 18 ft,GSW trails 14-16
2012-01-31,True,SAC,1,00:25,False,3,27,230,315,Missed 3-pointer from 27 ft,GSW leads 24-23
2012-01-31,True,SAC,2,02:41,False,2,5,260,100,Missed 2-pointer from 5 ft,GSW trails 39-44
2012-01-31,True,SAC,2,00:00,False,3,29,53,270,Missed 3-pointer from 29 ft,GSW trails 45-47
2012-01-31,True,SAC,3,10:25,False,3,26,65,240,Missed 3-pointer from 26 ft,GSW trails 47-51
2012-01-31,True,SAC,3,07:23,True,2,20,83,174,Made 2-pointer from 20 ft,GSW now trails 54-55
2012-01-31,True,SAC,3,04:01,False,2,1,235,56,Missed 2-pointer from 1 ft,GSW trails 58-61
2012-02-02,True,UTA,1,10:16,True,2,5,274,91,Made 2-pointer from 5 ft,GSW now leads 5-4
2012-02-02,True,UTA,1,09:26,True,2,19,301,233,Made 2-pointer from 19 ft,GSW now trails 7-8
2012-02-02,True,UTA,1,00:27,False,3,26,257,307,Missed 3-pointer from 26 ft,GSW leads 25-22
2012-02-02,True,UTA,2,04:17,True,2,9,210,135,Made 2-pointer from 9 ft,GSW now leads 39-36
2012-02-02,True,UTA,2,02:07,True,3,24,479,57,Made 3-pointer from 24 ft,GSW now leads 44-40
2012-02-02,True,UTA,2,02:07,True,2,18,235,231,Made 2-pointer from 18 ft,GSW now leads 48-46
2012-02-02,True,UTA,3,11:19,True,2,17,383,147,Made 2-pointer from 17 ft,GSW now leads 50-48
2012-02-02,True,UTA,3,10:48,False,2,21,236,261,Missed 2-pointer from 21 ft,GSW tied 50-50
2012-02-02,True,UTA,3,07:36,True,2,2,224,59,Made 2-pointer from 2 ft,GSW now leads 62-60
2012-02-02,True,UTA,3,05:13,False,3,23,9,64,Missed 3-pointer from 23 ft,GSW leads 70-65
2012-02-02,True,UTA,4,10:58,True,2,1,241,59,Made 2-pointer from 1 ft,GSW now leads 93-77
2012-02-02,True,UTA,4,07:50,True,3,26,217,305,Made 3-pointer from 26 ft,GSW now leads 104-87
2012-02-02,True,UTA,4,07:19,False,3,28,200,324,Missed 3-pointer from 28 ft,GSW leads 104-87
2012-02-02,True,UTA,4,03:50,True,2,20,158,229,Made 2-pointer from 20 ft,GSW now leads 110-93
2012-02-04,False,SAC,1,11:28,True,3,25,167,285,Made 3-pointer from 25 ft,GSW now leads 3-0
2012-02-04,False,SAC,1,09:24,True,3,26,378,275,Made 3-pointer from 26 ft,GSW now trails 8-9
2012-02-04,False,SAC,1,09:07,False,2,22,264,269,Missed 2-pointer from 22 ft,GSW trails 8-9
2012-02-04,False,SAC,1,06:18,False,3,24,77,223,Missed 3-pointer from 24 ft,GSW trails 13-15
2012-02-04,False,SAC,1,01:01,False,3,24,88,240,Missed 3-pointer from 24 ft,GSW leads 24-23
2012-02-04,False,SAC,2,02:24,False,2,17,71,76,Missed 2-pointer from 17 ft,GSW tied 48-48
2012-02-04,False,SAC,2,02:20,False,2,6,208,102,Missed 2-pointer from 6 ft,GSW tied 48-48
2012-02-04,False,SAC,2,00:56,False,3,23,14,70,Missed 3-pointer from 23 ft,GSW tied 50-50
2012-02-04,False,SAC,2,00:32,True,2,11,335,108,Made 2-pointer from 11 ft,GSW now trails 52-53
2012-02-04,False,SAC,3,11:40,False,2,4,277,65,Missed 2-pointer from 4 ft,GSW leads 54-53
2012-02-04,False,SAC,3,07:55,True,3,24,481,91,Made 3-pointer from 24 ft,GSW now trails 62-63
2012-02-04,False,SAC,1,04:37,False,3,25,414,231,Missed 3-pointer from 25 ft,GSW tied 102-102
2012-02-04,False,SAC,1,04:01,False,3,22,17,69,Missed 3-pointer from 22 ft,GSW tied 102-102
