date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,x,y,shot_description,game_score
2015-10-27,True,NOP,1,10:56,True,2,3,252,81,Made 2-pointer from 3 ft,GSW now leads 5-2
2015-10-27,True,NOP,1,10:29,False,3,26,64,245,Missed 3-pointer from 26 ft,GSW leads 5-2
2015-10-27,True,NOP,1,09:34,False,2,2,260,59,Missed 2-pointer from 2 ft,GSW trails 5-7
2015-10-27,True,NOP,1,09:13,True,3,27,43,243,Made 3-pointer from 27 ft,GSW now leads 10-7
2015-10-27,True,NOP,1,07:11,True,2,0,236,58,Made 2-pointer from 0 ft,GSW now leads 14-11
2015-10-27,True,NOP,1,06:45,True,3,25,229,309,Made 3-pointer from 25 ft,GSW now leads 17-13
2015-10-27,True,NOP,1,05:50,True,2,22,123,238,Made 2-pointer from 22 ft,GSW now leads 21-15
2015-10-27,True,NOP,1,05:03,True,3,28,61,278,Made 3-pointer from 28 ft,GSW now leads 25-18
2015-10-27,True,NOP,1,03:57,True,3,25,329,289,Made 3-pointer from 25 ft,GSW now leads 32-20
2015-10-27,True,NOP,1,03:06,False,3,27,84,282,Missed 3-pointer from 27 ft,GSW leads 32-23
2015-10-27,True,NOP,1,02:45,True,2,2,221,71,Made 2-pointer from 2 ft,GSW now leads 34-23
2015-10-27,True,NOP,1,00:45,True,2,2,252,68,Made 2-pointer from 2 ft,GSW now leads 39-32
2015-10-27,True,NOP,1,00:01,False,3,39,54,395,Missed 3-pointer from 39 ft,GSW leads 39-35
2015-10-27,True,NOP,2,06:03,False,3,24,404,235,Missed 3-pointer from 24 ft,GSW leads 45-44
2015-10-27,True,NOP,2,04:54,True,2,12,144,135,Made 2-pointer from 12 ft,GSW now leads 50-44
2015-10-27,True,NOP,2,02:11,False,3,24,406,224,Missed 3-pointer from 24 ft,GSW leads 55-47
2015-10-27,True,NOP,2,01:16,False,3,25,444,201,Missed 3-pointer from 25 ft,GSW leads 57-47
2015-10-27,True,NOP,2,00:01,True,2,1,231,58,Made 2-pointer from 1 ft,GSW now leads 59-49
2015-10-27,True,NOP,3,10:07,True,2,1,250,61,Made 2-pointer from 1 ft,GSW now leads 67-49
2015-10-27,True,NOP,3,07:35,True,2,1,233,63,Made 2-pointer from 1 ft,GSW now leads 73-58
2015-10-27,True,NOP,3,07:14,False,2,7,282,111,Missed 2-pointer from 7 ft,GSW leads 73-59
2015-10-27,True,NOP,3,05:19,False,3,25,401,253,Missed 3-pointer from 25 ft,GSW leads 79-64
2015-10-27,True,NOP,3,05:13,False,2,3,260,73,Missed 2-pointer from 3 ft,GSW leads 79-64
2015-10-27,True,NOP,3,03:23,True,3,25,424,220,Made 3-pointer from 25 ft,GSW now leads 85-68
2015-10-27,True,NOP,4,05:21,False,2,12,118,93,Missed 2-pointer from 12 ft,GSW leads 100-83
2015-10-27,True,NOP,4,02:30,False,2,0,246,57,Missed 2-pointer from 0 ft,GSW leads 104-89
2015-10-30,False,HOU,1,11:00,False,2,18,131,204,Missed 2-pointer from 18 ft,GSW trails 1-2
2015-10-30,False,HOU,1,09:22,True,3,24,449,174,Made 3-pointer from 24 ft,GSW now trails 6-8
2015-10-30,False,HOU,1,08:56,True,3,24,468,137,Made 3-pointer from 24 ft,GSW now leads 9-8
2015-10-30,False,HOU,1,07:52,True,3,29,188,338,Made 3-pointer from 29 ft,GSW now leads 14-8
2015-10-30,False,HOU,1,06:23,False,3,24,111,264,Missed 3-pointer from 24 ft,GSW tied 14-14
2015-10-30,False,HOU,1,03:05,False,3,24,462,156,Missed 3-pointer from 24 ft,GSW leads 21-20
