date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,x,y,shot_description,game_score
2012-10-31,False,PHO,1,08:31,False,3,25,195,296,Missed 3-pointer from 25 ft,GSW trails 4-9
2012-10-31,False,PHO,1,05:58,False,2,21,52,152,Missed 2-pointer from 21 ft,GSW leads 11-10
2012-10-31,False,PHO,1,05:13,False,3,26,3,149,Missed 3-pointer from 26 ft,GSW leads 11-10
2012-10-31,False,PHO,2,06:18,False,2,22,397,198,Missed 2-pointer from 22 ft,GSW leads 46-29
2012-10-31,False,PHO,2,02:43,False,3,23,14,33,Missed 3-pointer from 23 ft,GSW leads 46-36
2012-10-31,False,PHO,3,10:01,False,2,4,222,81,Missed 2-pointer from 4 ft,GSW leads 50-42
2012-10-31,False,PHO,3,08:17,False,2,5,192,67,Missed 2-pointer from 5 ft,GSW leads 56-46
2012-10-31,False,PHO,3,07:16,False,2,4,230,89,Missed 2-pointer from 4 ft,GSW leads 56-48
2012-10-31,False,PHO,4,09:53,False,3,25,376,258,Missed 3-pointer from 25 ft,GSW trails 66-71
2012-10-31,False,PHO,4,09:41,False,3,25,305,292,Missed 3-pointer from 25 ft,GSW trails 66-71
2012-10-31,False,PHO,4,08:20,True,2,20,324,233,Made 2-pointer from 20 ft,GSW now trails 68-74
2012-10-31,False,PHO,4,07:52,False,2,8,321,70,Missed 2-pointer from 8 ft,GSW trails 68-74
2012-10-31,False,PHO,4,04:10,False,3,25,272,299,Missed 3-pointer from 25 ft,GSW leads 79-78
2012-10-31,False,PHO,4,03:01,True,2,2,261,57,Made 2-pointer from 2 ft,GSW now leads 83-80
2012-11-02,True,MEM,1,06:14,False,3,25,42,210,Missed 3-pointer from 25 ft,GSW trails 9-12
2012-11-02,True,MEM,1,05:48,False,2,9,156,86,Missed 2-pointer from 9 ft,GSW trails 9-15
2012-11-02,True,MEM,1,05:04,True,3,23,6,47,Made 3-pointer from 23 ft,GSW now trails 12-17
