date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,x,y,shot_description,game_score
2010-10-27,True,HOU,1,09:39,True,2,17,253,217,Made 2-pointer from 17 ft,GSW now leads 8-6
2010-10-27,True,HOU,1,08:43,False,2,16,399,64,Missed 2-pointer from 16 ft,GSW leads 12-8
2010-10-27,True,HOU,1,06:20,True,2,16,154,185,Made 2-pointer from 16 ft,GSW now leads 18-14
2010-10-27,True,HOU,1,04:52,True,2,18,337,203,Made 2-pointer from 18 ft,GSW now leads 25-18
2010-10-27,True,HOU,1,01:39,False,3,26,88,264,Missed 3-pointer from 26 ft,GSW leads 31-26
2010-10-27,True,HOU,1,01:39,False,2,22,154,251,Missed 2-pointer from 22 ft,GSW leads 34-31
2010-10-27,True,HOU,2,01:39,False,2,2,240,65,Missed 2-pointer from 2 ft,GSW trails 64-66
2010-10-27,True,HOU,3,09:22,False,3,26,88,267,Missed 3-pointer from 26 ft,GSW leads 71-70
2010-10-27,True,HOU,3,06:51,True,3,26,25,193,Made 3-pointer from 26 ft,GSW now leads 80-74
2010-10-27,True,HOU,3,05:41,True,2,21,400,187,Made 2-pointer from 21 ft,GSW now leads 84-77
2010-10-27,True,HOU,3,05:21,True,3,27,406,267,Made 3-pointer from 27 ft,GSW now leads 87-79
2010-10-27,True,HOU,3,04:35,True,2,13,370,51,Made 2-pointer from 13 ft,GSW now leads 91-80
2010-10-27,True,HOU,3,04:03,False,3,24,477,69,Missed 3-pointer from 24 ft,GSW leads 91-80
2010-10-27,True,HOU,4,07:23,True,2,23,77,209,Made 2-pointer from 23 ft,GSW now leads 110-106
2010-10-27,True,HOU,4,05:58,True,3,28,441,244,Made 3-pointer from 28 ft,GSW now leads 117-112
2010-10-27,True,HOU,4,02:53,False,2,16,94,125,Missed 2-pointer from 16 ft,GSW leads 124-116
2010-10-29,True,LAC,1,06:11,True,2,16,244,207,Made 2-pointer from 16 ft,GSW now leads 19-9
2010-10-29,True,LAC,1,00:58,False,3,25,47,203,Missed 3-pointer from 25 ft,GSW tied 27-27
2010-10-29,True,LAC,2,11:41,True,2,20,444,57,Made 2-pointer from 20 ft,GSW now leads 29-28
2010-10-29,True,LAC,2,07:31,True,3,27,98,281,Made 3-pointer from 27 ft,GSW now leads 44-37
2010-10-29,True,LAC,2,04:36,False,3,26,158,296,Missed 3-pointer from 26 ft,GSW leads 47-40
2010-10-29,True,LAC,2,00:01,True,2,6,242,111,Made 2-pointer from 6 ft,GSW now leads 58-54
2010-10-29,True,LAC,3,11:18,True,2,18,236,226,Made 2-pointer from 18 ft,GSW now leads 60-54
2010-10-29,True,LAC,3,10:41,True,2,2,263,50,Made 2-pointer from 2 ft,GSW now leads 62-54
2010-10-29,True,LAC,3,09:59,True,2,2,235,67,Made 2-pointer from 2 ft,GSW now leads 64-54
2010-11-05,True,UTA,1,08:24,False,2,20,268,253,Missed 2-pointer from 20 ft,GSW trails 6-8
2010-11-05,True,UTA,1,05:41,False,2,8,244,132,Missed 2-pointer from 8 ft,GSW trails 8-10
2010-11-05,True,UTA,1,03:39,False,3,25,188,292,Missed 3-pointer from 25 ft,GSW leads 15-10
2010-11-05,True,UTA,2,08:35,True,2,9,249,136,Made 2-pointer from 9 ft,GSW now trails 19-22
2010-11-05,True,UTA,2,07:40,True,2,16,253,206,Made 2-pointer from 16 ft,GSW now tied 23-23
2010-11-05,True,UTA,2,06:38,True,3,26,282,305,Made 3-pointer from 26 ft,GSW now trails 26-27
2010-11-05,True,UTA,2,04:50,False,3,26,148,296,Missed 3-pointer from 26 ft,GSW trails 28-30
2010-11-05,True,UTA,3,11:38,True,2,20,326,226,Made 2-pointer from 20 ft,GSW now leads 42-39
2010-11-05,True,UTA,3,11:17,False,2,19,370,193,Missed 2-pointer from 19 ft,GSW leads 42-41
2010-11-05,True,UTA,3,07:00,False,2,20,414,144,Missed 2-pointer from 20 ft,GSW leads 50-48
2010-11-05,True,UTA,3,05:23,False,2,10,247,149,Missed 2-pointer from 10 ft,GSW leads 54-48
2010-11-05,True,UTA,4,06:22,False,2,21,69,165,Missed 2-pointer from 21 ft,GSW leads 66-61
2010-11-05,True,UTA,4,04:51,True,2,12,312,152,Made 2-pointer from 12 ft,GSW now leads 72-65
2010-11-05,True,UTA,4,03:55,False,2,19,101,173,Missed 2-pointer from 19 ft,GSW leads 72-69
2010-11-05,True,UTA,4,02:35,True,2,18,101,162,Made 2-pointer from 18 ft,GSW now leads 74-72
2010-11-05,True,UTA,4,02:11,True,2,2,257,64,Made 2-pointer from 2 ft,GSW now leads 76-72
2010-11-05,True,UTA,4,01:31,False,3,27,288,316,Missed 3-pointer from 27 ft,GSW leads 77-74
2010-11-07,False,DET,1,10:38,False,2,0,241,51,Missed 2-pointer from 0 ft,GSW tied 0-0
2010-11-07,False,DET,1,08:26,False,3,24,471,121,Missed 3-pointer from 24 ft,GSW tied 4-4
2010-11-07,False,DET,1,07:46,False,2,15,235,199,Missed 2-pointer from 15 ft,GSW leads 6-4
2010-11-07,False,DET,1,06:01,False,2,13,365,69,Missed 2-pointer from 13 ft,GSW trails 8-11
2010-11-07,False,DET,2,03:14,False,3,24,12,108,Missed 3-pointer from 24 ft,GSW leads 34-33
2010-11-07,False,DET,2,01:38,True,2,16,361,152,Made 2-pointer from 16 ft,GSW now tied 38-38
2010-11-07,False,DET,2,00:22,True,2,18,293,217,Made 2-pointer from 18 ft,GSW now trails 44-45
2010-11-07,False,DET,3,08:44,False,2,0,240,53,Missed 2-pointer from 0 ft,GSW leads 55-51
2010-11-07,False,DET,4,06:58,False,2,19,413,136,Missed 2-pointer from 19 ft,GSW trails 84-88
2010-11-07,False,DET,4,05:58,False,2,4,279,65,Missed 2-pointer from 4 ft,GSW trails 87-88
2010-11-07,False,DET,4,03:09,True,2,9,206,138,Made 2-pointer from 9 ft,GSW now trails 93-96
2010-11-07,False,DET,4,00:13,False,3,26,328,292,Missed 3-pointer from 26 ft,GSW trails 97-100
2010-11-08,False,TOR,1,10:08,True,2,15,391,56,Made 2-pointer from 15 ft,GSW now trails 2-8
2010-11-08,False,TOR,1,09:11,True,2,1,232,53,Made 2-pointer from 1 ft,GSW now trails 6-8
2010-11-08,False,TOR,1,03:18,False,2,11,246,163,Missed 2-pointer from 11 ft,GSW leads 18-14
2010-11-08,False,TOR,1,03:14,False,2,2,252,65,Missed 2-pointer from 2 ft,GSW leads 18-14
2010-11-08,False,TOR,1,02:39,True,2,15,175,190,Made 2-pointer from 15 ft,GSW now leads 20-17
2010-11-08,False,TOR,2,06:02,False,2,0,244,48,Missed 2-pointer from 0 ft,GSW leads 37-26
2010-11-08,False,TOR,2,05:10,False,2,13,339,130,Missed 2-pointer from 13 ft,GSW leads 41-26
2010-11-08,False,TOR,2,03:31,True,2,2,255,56,Made 2-pointer from 2 ft,GSW now leads 47-28
2010-11-08,False,TOR,3,10:48,False,3,23,12,48,Missed 3-pointer from 23 ft,GSW leads 57-41
2010-11-08,False,TOR,3,07:05,True,2,2,240,69,Made 2-pointer from 2 ft,GSW now leads 69-49
2010-11-08,False,TOR,3,00:15,True,2,2,260,53,Made 2-pointer from 2 ft,GSW now leads 84-72
2010-11-08,False,TOR,3,00:00,False,2,1,240,62,Missed 2-pointer from 1 ft,GSW leads 84-72
2010-11-08,False,TOR,4,09:52,False,2,2,260,59,Missed 2-pointer from 2 ft,GSW leads 90-76
2010-11-08,False,TOR,4,09:33,False,2,3,213,61,Missed 2-pointer from 3 ft,GSW leads 90-76
2010-11-08,False,TOR,4,06:58,True,2,13,361,108,Made 2-pointer from 13 ft,GSW now leads 92-86
2010-11-08,False,TOR,4,05:10,True,3,24,27,163,Made 3-pointer from 24 ft,GSW now leads 97-86
2010-11-08,False,TOR,4,04:28,True,2,2,258,51,Made 2-pointer from 2 ft,GSW now leads 99-90
2010-11-08,False,TOR,4,02:38,True,3,23,9,51,Made 3-pointer from 23 ft,GSW now leads 105-94
2010-11-08,False,TOR,4,02:15,True,2,3,264,57,Made 2-pointer from 3 ft,GSW now leads 107-96
2010-11-08,False,TOR,4,01:00,True,2,19,246,240,Made 2-pointer from 19 ft,GSW now leads 109-102
2010-11-08,False,TOR,4,00:29,False,3,27,214,322,Missed 3-pointer from 27 ft,GSW leads 109-102
2010-11-10,False,NYK,1,10:42,False,2,20,170,242,Missed 2-pointer from 20 ft,GSW leads 4-3
2010-11-10,False,NYK,1,05:07,True,2,1,232,51,Made 2-pointer from 1 ft,GSW now trails 20-22
2010-11-10,False,NYK,1,04:03,True,2,3,271,57,Made 2-pointer from 3 ft,GSW now leads 24-22
2010-11-10,False,NYK,1,01:08,False,2,15,88,40,Missed 2-pointer from 15 ft,GSW leads 34-27
2010-11-10,False,NYK,1,01:08,False,2,4,271,78,Missed 2-pointer from 4 ft,GSW leads 34-32
2010-11-10,False,NYK,2,06:15,False,2,10,180,133,Missed 2-pointer from 10 ft,GSW leads 47-43
2010-11-10,False,NYK,2,04:48,True,2,2,253,59,Made 2-pointer from 2 ft,GSW now leads 49-47
2010-11-10,False,NYK,2,01:22,True,2,1,250,53,Made 2-pointer from 1 ft,GSW now leads 56-54
2010-11-10,False,NYK,2,00:47,True,2,2,261,56,Made 2-pointer from 2 ft,GSW now leads 58-56
2010-11-10,False,NYK,3,10:42,True,2,1,236,57,Made 2-pointer from 1 ft,GSW now leads 66-58
2010-11-10,False,NYK,3,10:18,False,2,13,367,45,Missed 2-pointer from 13 ft,GSW leads 66-60
2010-11-10,False,NYK,3,07:50,True,2,16,384,128,Made 2-pointer from 16 ft,GSW now leads 74-62
2010-11-10,False,NYK,3,07:09,False,2,5,290,61,Missed 2-pointer from 5 ft,GSW leads 74-62
2010-11-10,False,NYK,3,05:33,False,2,2,258,50,Missed 2-pointer from 2 ft,GSW leads 79-62
2010-11-10,False,NYK,3,01:15,False,2,3,242,84,Missed 2-pointer from 3 ft,GSW leads 85-77
2010-11-10,False,NYK,4,10:54,True,2,5,192,62,Made 2-pointer from 5 ft,GSW now leads 92-85
2010-11-10,False,NYK,4,10:16,True,3,25,348,275,Made 3-pointer from 25 ft,GSW now leads 95-85
2010-11-10,False,NYK,4,07:45,True,2,2,258,56,Made 2-pointer from 2 ft,GSW now leads 99-92
2010-11-10,False,NYK,4,03:34,True,2,3,230,81,Made 2-pointer from 3 ft,GSW now leads 109-107
2010-11-10,False,NYK,4,02:51,False,2,6,298,54,Missed 2-pointer from 6 ft,GSW tied 109-109
2010-11-11,False,CHI,1,11:14,True,2,3,261,67,Made 2-pointer from 3 ft,GSW now tied 2-2
2010-11-11,False,CHI,1,09:44,False,2,15,391,69,Missed 2-pointer from 15 ft,GSW trails 4-6
2010-11-11,False,CHI,1,05:32,True,2,3,268,67,Made 2-pointer from 3 ft,GSW now trails 12-20
2010-11-11,False,CHI,1,03:22,False,2,15,392,53,Missed 2-pointer from 15 ft,GSW trails 16-24
2010-11-11,False,CHI,1,02:55,False,3,25,429,212,Missed 3-pointer from 25 ft,GSW trails 16-26
2010-11-11,False,CHI,2,11:06,False,2,20,301,236,Missed 2-pointer from 20 ft,GSW trails 20-38
2010-11-11,False,CHI,2,10:46,False,3,25,346,280,Missed 3-pointer from 25 ft,GSW trails 20-38
2010-11-11,False,CHI,2,04:11,True,2,17,271,214,Made 2-pointer from 17 ft,GSW now trails 31-56
