date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,x,y,shot_description,game_score
2014-10-29,False,SAC,1,07:29,True,2,11,159,122,Made 2-pointer from 11 ft,GSW now leads 9-7
2014-10-29,False,SAC,1,05:09,False,3,25,305,296,Missed 3-pointer from 25 ft,GSW leads 13-11
2014-10-29,False,SAC,2,08:49,True,2,3,263,65,Made 2-pointer from 3 ft,GSW now tied 29-29
2014-10-29,False,SAC,2,06:43,True,2,1,229,57,Made 2-pointer from 1 ft,GSW now leads 36-31
2014-10-29,False,SAC,2,05:36,False,3,25,76,237,Missed 3-pointer from 25 ft,GSW leads 36-33
2014-10-29,False,SAC,2,04:59,False,2,10,236,152,Missed 2-pointer from 10 ft,GSW leads 36-35
2014-10-29,False,SAC,2,01:06,False,2,9,162,84,Missed 2-pointer from 9 ft,GSW trails 43-47
2014-10-29,False,SAC,3,10:18,False,3,23,11,76,Missed 3-pointer from 23 ft,GSW tied 49-49
2014-10-29,False,SAC,3,08:02,False,3,25,186,296,Missed 3-pointer from 25 ft,GSW trails 50-52
2014-10-29,False,SAC,3,04:26,True,3,25,222,296,Made 3-pointer from 25 ft,GSW now leads 60-54
2014-10-29,False,SAC,3,02:33,False,2,3,258,69,Missed 2-pointer from 3 ft,GSW leads 64-56
2014-10-29,False,SAC,3,00:43,False,3,25,277,297,Missed 3-pointer from 25 ft,GSW leads 73-58
2014-10-29,False,SAC,4,05:58,True,2,4,274,72,Made 2-pointer from 4 ft,GSW now leads 82-69
2014-10-29,False,SAC,4,03:27,True,2,3,214,67,Made 2-pointer from 3 ft,GSW now leads 89-73
2014-10-29,False,SAC,4,02:12,False,3,26,76,250,Missed 3-pointer from 26 ft,GSW leads 89-75
2014-10-29,False,SAC,4,01:31,True,3,25,465,149,Made 3-pointer from 25 ft,GSW now leads 92-75
2014-10-29,False,SAC,4,00:31,False,3,24,449,176,Missed 3-pointer from 24 ft,GSW leads 95-77
2014-11-01,True,LAL,1,10:44,False,2,4,217,86,Missed 2-pointer from 4 ft,GSW tied 2-2
2014-11-01,True,LAL,1,06:52,True,2,19,102,182,Made 2-pointer from 19 ft,GSW now trails 11-13
2014-11-01,True,LAL,1,06:21,False,3,25,240,304,Missed 3-pointer from 25 ft,GSW trails 11-16
2014-11-01,True,LAL,1,06:03,False,2,7,302,87,Missed 2-pointer from 7 ft,GSW trails 11-16
2014-11-01,True,LAL,1,05:02,True,3,26,117,280,Made 3-pointer from 26 ft,GSW now tied 16-16
2014-11-01,True,LAL,1,03:46,True,2,19,87,158,Made 2-pointer from 19 ft,GSW now trails 20-22
2014-11-01,True,LAL,1,03:19,True,2,11,203,158,Made 2-pointer from 11 ft,GSW now tied 22-22
2014-11-01,True,LAL,1,02:11,True,3,26,117,280,Made 3-pointer from 26 ft,GSW now leads 27-26
2014-11-01,True,LAL,1,00:49,False,3,27,164,307,Missed 3-pointer from 27 ft,GSW trails 29-30
2014-11-01,True,LAL,2,04:12,True,2,7,288,95,Made 2-pointer from 7 ft,GSW now leads 51-45
2014-11-01,True,LAL,2,01:03,False,2,14,380,76,Missed 2-pointer from 14 ft,GSW leads 58-49
2014-11-01,True,LAL,3,11:29,False,3,25,417,223,Missed 3-pointer from 25 ft,GSW leads 61-55
2014-11-01,True,LAL,3,07:46,False,2,3,258,72,Missed 2-pointer from 3 ft,GSW leads 68-65
2014-11-01,True,LAL,3,06:36,True,2,2,255,59,Made 2-pointer from 2 ft,GSW now leads 74-67
2014-11-01,True,LAL,3,05:08,True,3,27,399,274,Made 3-pointer from 27 ft,GSW now leads 79-73
2014-11-01,True,LAL,3,03:27,False,3,27,331,302,Missed 3-pointer from 27 ft,GSW leads 83-80
2014-11-01,True,LAL,4,07:02,True,2,4,240,87,Made 2-pointer from 4 ft,GSW now leads 103-94
2014-11-01,True,LAL,4,06:28,False,3,27,384,278,Missed 3-pointer from 27 ft,GSW leads 103-94
2014-11-01,True,LAL,4,02:15,True,2,12,361,64,Made 2-pointer from 12 ft,GSW now leads 117-100
2014-11-02,False,POR,1,10:56,False,2,18,397,143,Missed 2-pointer from 18 ft,GSW trails 0-2
2014-11-02,False,POR,1,09:23,True,3,25,189,292,Made 3-pointer from 25 ft,GSW now leads 5-3
2014-11-02,False,POR,1,08:11,True,2,2,225,53,Made 2-pointer from 2 ft,GSW now leads 9-7
2014-11-02,False,POR,1,07:44,True,2,15,261,198,Made 2-pointer from 15 ft,GSW now leads 11-7
2014-11-02,False,POR,1,05:53,False,3,27,364,285,Missed 3-pointer from 27 ft,GSW leads 16-9
2014-11-02,False,POR,1,04:10,False,2,20,137,223,Missed 2-pointer from 20 ft,GSW leads 21-14
2014-11-02,False,POR,2,04:57,True,2,21,224,261,Made 2-pointer from 21 ft,GSW now leads 42-37
2014-11-02,False,POR,2,04:20,False,2,20,158,229,Missed 2-pointer from 20 ft,GSW leads 42-39
2014-11-02,False,POR,2,02:47,False,2,2,225,48,Missed 2-pointer from 2 ft,GSW leads 50-45
2014-11-02,False,POR,2,00:21,False,2,20,46,91,Missed 2-pointer from 20 ft,GSW leads 51-48
2014-11-02,False,POR,3,10:53,False,2,1,249,50,Missed 2-pointer from 1 ft,GSW leads 53-50
2014-11-02,False,POR,3,10:12,True,2,19,98,171,Made 2-pointer from 19 ft,GSW now leads 57-52
2014-11-02,False,POR,3,08:24,False,3,25,131,270,Missed 3-pointer from 25 ft,GSW leads 57-55
2014-11-02,False,POR,3,06:58,True,2,21,323,242,Made 2-pointer from 21 ft,GSW now leads 63-56
2014-11-02,False,POR,3,04:49,False,3,24,131,269,Missed 3-pointer from 24 ft,GSW leads 64-60
2014-11-02,False,POR,3,04:19,False,3,23,8,56,Missed 3-pointer from 23 ft,GSW leads 64-60
2014-11-02,False,POR,4,03:53,False,2,5,288,51,Missed 2-pointer from 5 ft,GSW trails 81-84
2014-11-02,False,POR,4,02:16,False,2,21,430,133,Missed 2-pointer from 21 ft,GSW tied 88-88
2014-11-05,True,LAC,1,10:28,False,3,25,299,291,Missed 3-pointer from 25 ft,GSW trails 2-3
2014-11-05,True,LAC,1,07:43,False,2,4,221,83,Missed 2-pointer from 4 ft,GSW tied 7-7
2014-11-05,True,LAC,1,06:19,True,3,25,41,198,Made 3-pointer from 25 ft,GSW now leads 10-9
2014-11-05,True,LAC,1,06:11,True,2,2,258,62,Made 2-pointer from 2 ft,GSW now leads 12-9
2014-11-05,True,LAC,1,04:26,True,2,0,238,54,Made 2-pointer from 0 ft,GSW now leads 19-11
2014-11-05,True,LAC,1,03:50,False,2,7,253,117,Missed 2-pointer from 7 ft,GSW leads 19-11
2014-11-05,True,LAC,2,06:18,True,2,18,145,201,Made 2-pointer from 18 ft,GSW now leads 43-29
2014-11-05,True,LAC,2,03:30,True,3,26,406,253,Made 3-pointer from 26 ft,GSW now leads 55-33
2014-11-05,True,LAC,2,03:11,False,3,26,271,308,Missed 3-pointer from 26 ft,GSW leads 55-33
2014-11-05,True,LAC,2,00:22,True,3,24,9,124,Made 3-pointer from 24 ft,GSW now leads 65-40
2014-11-05,True,LAC,3,11:13,False,3,23,466,59,Missed 3-pointer from 23 ft,GSW leads 65-42
2014-11-05,True,LAC,4,10:54,False,2,18,139,196,Missed 2-pointer from 18 ft,GSW leads 102-78
2014-11-05,True,LAC,4,10:38,False,2,5,277,78,Missed 2-pointer from 5 ft,GSW leads 102-78
2014-11-05,True,LAC,4,09:59,False,2,3,236,84,Missed 2-pointer from 3 ft,GSW leads 104-80
2014-11-05,True,LAC,4,08:16,True,2,18,416,84,Made 2-pointer from 18 ft,GSW now leads 108-86
2014-11-05,True,LAC,4,07:38,False,3,28,432,247,Missed 3-pointer from 28 ft,GSW leads 108-89
