date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,x,y,shot_description,game_score
2017-10-17,True,HOU,1,08:09,True,3,25,335,292,Made 3-pointer from 25 ft,GSW now leads 15-7
2017-10-17,True,HOU,1,00:32,False,2,13,369,93,Missed 2-pointer from 13 ft,GSW leads 35-31
2017-10-17,True,HOU,2,09:14,False,2,2,260,60,Missed 2-pointer from 2 ft,GSW leads 42-34
2017-10-17,True,HOU,2,08:15,False,3,27,113,289,Missed 3-pointer from 27 ft,GSW leads 47-38
2017-10-17,True,HOU,3,11:13,True,2,1,227,64,Made 2-pointer from 1 ft,GSW now leads 74-62
2017-10-17,True,HOU,3,10:57,True,3,25,270,302,Made 3-pointer from 25 ft,GSW now leads 77-62
2017-10-17,True,HOU,3,10:06,False,3,26,408,258,Missed 3-pointer from 26 ft,GSW leads 77-64
2017-10-17,True,HOU,3,07:15,True,2,13,370,67,Made 2-pointer from 13 ft,GSW now leads 86-75
2017-10-17,True,HOU,4,10:55,False,2,2,249,71,Missed 2-pointer from 2 ft,GSW leads 101-93
2017-10-17,True,HOU,4,09:39,False,3,26,238,314,Missed 3-pointer from 26 ft,GSW leads 104-99
2017-10-17,True,HOU,4,07:33,False,3,26,166,306,Missed 3-pointer from 26 ft,GSW leads 106-101
2017-10-17,True,HOU,4,07:00,False,2,1,232,65,Missed 2-pointer from 1 ft,GSW leads 106-101
2017-10-17,True,HOU,4,05:48,True,2,11,350,95,Made 2-pointer from 11 ft,GSW now leads 111-105
2017-10-17,True,HOU,4,05:12,True,3,25,165,291,Made 3-pointer from 25 ft,GSW now leads 114-107
2017-10-17,True,HOU,4,04:14,True,2,2,241,72,Made 2-pointer from 2 ft,GSW now leads 116-109
2017-10-17,True,HOU,4,03:50,True,2,2,247,70,Made 2-pointer from 2 ft,GSW now leads 118-112
2017-10-17,True,HOU,4,03:07,False,3,26,285,307,Missed 3-pointer from 26 ft,GSW leads 118-115
2017-10-17,True,HOU,4,00:05,False,3,25,30,195,Missed 3-pointer from 25 ft,GSW trails 121-122
2017-10-20,False,NOP,1,09:34,False,3,22,466,62,Missed 3-pointer from 22 ft,GSW leads 124-108
2017-10-20,False,NOP,1,06:35,False,3,23,473,87,Missed 3-pointer from 23 ft,GSW leads 128-120
2017-10-20,False,NOP,1,04:48,True,2,22,436,170,Made 2-pointer from 22 ft,GSW now trails 5-7
2017-10-20,False,NOP,1,04:28,False,3,26,19,194,Missed 3-pointer from 26 ft,GSW trails 5-8
2017-10-20,False,NOP,1,03:45,False,3,25,389,259,Missed 3-pointer from 25 ft,GSW trails 5-8
2017-10-20,False,NOP,1,02:15,True,2,2,223,66,Made 2-pointer from 2 ft,GSW now leads 12-11
2017-10-20,False,NOP,1,01:07,True,3,30,107,325,Made 3-pointer from 30 ft,GSW now leads 17-16
2017-10-20,False,NOP,2,04:26,True,3,25,137,286,Made 3-pointer from 25 ft,GSW now tied 40-40
2017-10-20,False,NOP,2,02:21,False,3,27,81,271,Missed 3-pointer from 27 ft,GSW trails 44-45
2017-10-20,False,NOP,3,10:48,False,2,16,367,151,Missed 2-pointer from 16 ft,GSW leads 58-47
2017-10-20,False,NOP,3,04:01,True,2,3,269,59,Made 2-pointer from 3 ft,GSW now leads 81-65
2017-10-20,False,NOP,3,03:45,False,3,25,123,277,Missed 3-pointer from 25 ft,GSW leads 81-65
2017-10-20,False,NOP,3,01:50,True,3,26,432,234,Made 3-pointer from 26 ft,GSW now leads 88-70
2017-10-20,False,NOP,3,01:19,False,3,26,411,247,Missed 3-pointer from 26 ft,GSW leads 88-73
2017-10-20,False,NOP,3,00:06,False,2,1,229,65,Missed 2-pointer from 1 ft,GSW leads 90-73
2017-10-20,False,NOP,4,01:10,True,3,23,479,67,Made 3-pointer from 23 ft,GSW now leads 120-99
2017-10-21,False,MEM,1,08:02,False,2,11,243,165,Missed 2-pointer from 11 ft,GSW leads 8-6
2017-10-21,False,MEM,1,06:46,True,3,26,201,310,Made 3-pointer from 26 ft,GSW now leads 13-8
2017-10-21,False,MEM,1,05:25,True,2,17,184,217,Made 2-pointer from 17 ft,GSW now leads 15-10
2017-10-21,False,MEM,1,05:02,False,3,26,97,271,Missed 3-pointer from 26 ft,GSW leads 15-10
2017-10-21,False,MEM,2,06:32,False,3,26,319,301,Missed 3-pointer from 26 ft,GSW trails 34-45
2017-10-21,False,MEM,2,04:26,True,3,25,140,282,Made 3-pointer from 25 ft,GSW now trails 39-49
2017-10-21,False,MEM,2,04:09,True,3,25,329,287,Made 3-pointer from 25 ft,GSW now trails 42-49
2017-10-21,False,MEM,3,11:44,True,3,25,262,300,Made 3-pointer from 25 ft,GSW now trails 54-56
2017-10-21,False,MEM,3,09:49,False,2,4,193,63,Missed 2-pointer from 4 ft,GSW trails 56-59
2017-10-21,False,MEM,3,07:42,False,2,0,236,49,Missed 2-pointer from 0 ft,GSW trails 56-67
