date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,x,y,shot_description,game_score
2009-10-28,True,HOU,1,11:25,False,3,27,339,299,Missed 3-pointer from 27 ft,GSW leads 2-0
2009-10-28,True,HOU,1,09:31,True,2,19,118,195,Made 2-pointer from 19 ft,GSW now leads 4-2
2009-10-28,True,HOU,1,06:02,False,2,14,180,179,Missed 2-pointer from 14 ft,GSW trails 8-12
2009-10-28,True,HOU,2,09:49,False,2,19,68,132,Missed 2-pointer from 19 ft,GSW trails 28-32
2009-10-28,True,HOU,2,02:19,False,2,16,172,198,Missed 2-pointer from 16 ft,GSW tied 48-48
2009-10-28,True,HOU,2,00:34,False,2,4,279,65,Missed 2-pointer from 4 ft,GSW leads 56-52
2009-10-28,True,HOU,4,10:26,True,2,16,176,199,Made 2-pointer from 16 ft,GSW now trails 83-90
2009-10-28,True,HOU,4,06:31,True,2,17,358,173,Made 2-pointer from 17 ft,GSW now trails 95-99
2009-10-28,True,HOU,4,02:25,True,2,20,361,212,Made 2-pointer from 20 ft,GSW now trails 101-108
2009-10-28,True,HOU,4,01:47,True,2,18,115,184,Made 2-pointer from 18 ft,GSW now trails 103-108
2009-10-28,True,HOU,4,00:29,True,2,1,233,51,Made 2-pointer from 1 ft,GSW now trails 105-108
2009-10-28,True,HOU,4,00:29,True,2,2,235,65,Made 2-pointer from 2 ft,GSW now trails 107-108
2009-10-30,False,PHO,1,10:39,False,3,25,392,245,Missed 3-pointer from 25 ft,GSW leads 2-0
2009-10-30,False,PHO,1,09:27,True,2,22,159,255,Made 2-pointer from 22 ft,GSW now leads 6-4
2009-10-30,False,PHO,2,01:28,True,2,20,365,212,Made 2-pointer from 20 ft,GSW now trails 46-53
2009-10-30,False,PHO,2,01:00,True,3,26,164,300,Made 3-pointer from 26 ft,GSW now trails 49-56
2009-10-30,False,PHO,3,08:35,False,2,16,82,44,Missed 2-pointer from 16 ft,GSW trails 57-67
2009-10-30,False,PHO,3,02:57,False,2,0,240,50,Missed 2-pointer from 0 ft,GSW trails 70-83
