date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,x,y,shot_description,game_score
2016-10-25,True,SAS,1,09:02,False,3,28,370,307,Missed 3-pointer from 28 ft,GSW trails 2-6
2016-10-25,True,SAS,1,08:06,True,3,25,429,224,Made 3-pointer from 25 ft,GSW now trails 7-10
2016-10-25,True,SAS,1,02:23,False,3,27,399,279,Missed 3-pointer from 27 ft,GSW tied 18-18
2016-10-25,True,SAS,1,02:01,False,2,21,403,191,Missed 2-pointer from 21 ft,GSW trails 18-21
2016-10-25,True,SAS,2,06:47,True,3,26,231,317,Made 3-pointer from 26 ft,GSW now trails 28-42
2016-10-25,True,SAS,2,04:58,True,2,7,224,120,Made 2-pointer from 7 ft,GSW now trails 34-46
2016-10-25,True,SAS,2,03:34,True,2,0,239,57,Made 2-pointer from 0 ft,GSW now trails 36-50
2016-10-25,True,SAS,2,03:17,True,3,27,354,297,Made 3-pointer from 27 ft,GSW now trails 40-50
2016-10-25,True,SAS,2,02:55,False,3,28,370,302,Missed 3-pointer from 28 ft,GSW trails 40-50
2016-10-25,True,SAS,3,08:36,False,3,31,71,312,Missed 3-pointer from 31 ft,GSW trails 58-71
2016-10-25,True,SAS,3,05:08,False,3,29,167,338,Missed 3-pointer from 29 ft,GSW trails 64-80
2016-10-25,True,SAS,3,04:34,False,2,0,238,57,Missed 2-pointer from 0 ft,GSW trails 64-80
2016-10-25,True,SAS,3,04:06,False,3,22,465,86,Missed 3-pointer from 22 ft,GSW trails 64-82
2016-10-25,True,SAS,3,03:35,True,2,0,248,55,Made 2-pointer from 0 ft,GSW now trails 66-84
2016-10-25,True,SAS,3,01:16,True,2,1,249,63,Made 2-pointer from 1 ft,GSW now trails 73-89
2016-10-25,True,SAS,3,00:51,True,2,22,26,106,Made 2-pointer from 22 ft,GSW now trails 75-91
2016-10-25,True,SAS,4,06:46,True,2,4,242,91,Made 2-pointer from 4 ft,GSW now trails 91-115
2016-10-25,True,SAS,4,06:11,False,3,23,8,76,Missed 3-pointer from 23 ft,GSW trails 91-117
2016-10-28,False,NOP,1,10:53,True,3,25,133,278,Made 3-pointer from 25 ft,GSW now leads 5-4
2016-10-28,False,NOP,1,09:41,False,2,2,218,66,Missed 2-pointer from 2 ft,GSW leads 7-6
2016-10-28,False,NOP,1,08:57,False,3,25,84,253,Missed 3-pointer from 25 ft,GSW leads 9-8
2016-10-28,False,NOP,1,04:54,False,3,24,259,297,Missed 3-pointer from 24 ft,GSW leads 17-12
2016-10-28,False,NOP,2,06:36,True,3,26,345,292,Made 3-pointer from 26 ft,GSW now leads 46-34
2016-10-28,False,NOP,3,10:14,False,2,19,69,140,Missed 2-pointer from 19 ft,GSW leads 62-52
2016-10-28,False,NOP,3,09:14,True,2,2,249,76,Made 2-pointer from 2 ft,GSW now leads 64-56
2016-10-28,False,NOP,3,08:55,False,2,1,226,57,Missed 2-pointer from 1 ft,GSW leads 64-58
2016-10-28,False,NOP,3,05:00,False,3,26,62,250,Missed 3-pointer from 26 ft,GSW leads 73-72
2016-10-28,False,NOP,3,03:57,True,3,22,12,49,Made 3-pointer from 22 ft,GSW now leads 76-74
2016-10-28,False,NOP,3,03:12,True,2,1,257,57,Made 2-pointer from 1 ft,GSW now leads 80-74
2016-10-28,False,NOP,3,00:57,True,3,30,102,312,Made 3-pointer from 30 ft,GSW now leads 90-79
2016-10-28,False,NOP,3,00:40,False,3,31,304,356,Missed 3-pointer from 31 ft,GSW leads 90-79
2016-10-28,False,NOP,4,05:49,True,2,20,234,255,Made 2-pointer from 20 ft,GSW now leads 107-92
2016-10-28,False,NOP,4,05:26,False,2,2,220,58,Missed 2-pointer from 2 ft,GSW leads 107-92
2016-10-28,False,NOP,4,04:52,False,3,25,375,268,Missed 3-pointer from 25 ft,GSW leads 107-95
2016-10-28,False,NOP,4,04:41,False,2,2,259,57,Missed 2-pointer from 2 ft,GSW leads 107-97
2016-10-28,False,NOP,4,01:47,True,2,0,244,58,Made 2-pointer from 0 ft,GSW now leads 114-103
2016-10-28,False,NOP,4,01:22,False,3,26,185,307,Missed 3-pointer from 26 ft,GSW leads 114-105
2016-10-30,False,PHO,1,11:26,True,2,17,71,111,Made 2-pointer from 17 ft,GSW now leads 2-0
2016-10-30,False,PHO,1,10:14,True,3,25,241,302,Made 3-pointer from 25 ft,GSW now leads 5-4
2016-10-30,False,PHO,1,08:55,True,2,7,298,97,Made 2-pointer from 7 ft,GSW now leads 7-6
2016-10-30,False,PHO,1,08:22,True,3,25,93,264,Made 3-pointer from 25 ft,GSW now leads 10-8
2016-10-30,False,PHO,1,04:02,False,2,2,259,57,Missed 2-pointer from 2 ft,GSW trails 15-19
2016-10-30,False,PHO,1,03:26,False,3,23,8,49,Missed 3-pointer from 23 ft,GSW trails 15-22
2016-10-30,False,PHO,2,06:36,True,3,26,475,170,Made 3-pointer from 26 ft,GSW now trails 34-39
2016-10-30,False,PHO,2,05:16,False,2,13,111,93,Missed 2-pointer from 13 ft,GSW trails 34-43
2016-10-30,False,PHO,2,04:42,True,3,25,491,86,Made 3-pointer from 25 ft,GSW now trails 37-43
2016-10-30,False,PHO,2,01:46,True,2,5,205,86,Made 2-pointer from 5 ft,GSW now trails 45-51
2016-10-30,False,PHO,3,07:29,True,3,26,149,302,Made 3-pointer from 26 ft,GSW now leads 65-62
2016-10-30,False,PHO,3,00:08,False,3,28,391,282,Missed 3-pointer from 28 ft,GSW leads 81-78
2016-10-30,False,PHO,4,10:00,False,2,7,224,122,Missed 2-pointer from 7 ft,GSW trails 83-84
2016-10-30,False,PHO,4,09:51,False,2,1,238,68,Missed 2-pointer from 1 ft,GSW trails 83-84
2016-10-30,False,PHO,4,05:27,True,2,19,184,235,Made 2-pointer from 19 ft,GSW now leads 93-89
2016-10-30,False,PHO,4,04:40,False,3,23,8,29,Missed 3-pointer from 23 ft,GSW leads 93-91
2016-10-30,False,PHO,4,00:25,False,2,17,71,71,Missed 2-pointer from 17 ft,GSW leads 102-98
2016-11-01,False,POR,1,09:51,False,3,23,10,53,Missed 3-pointer from 23 ft,GSW trails 3-5
2016-11-01,False,POR,1,08:37,False,3,27,141,302,Missed 3-pointer from 27 ft,GSW trails 7-9
2016-11-01,False,POR,1,06:45,False,2,14,291,184,Missed 2-pointer from 14 ft,GSW trails 9-16
2016-11-01,False,POR,2,05:08,True,2,2,218,52,Made 2-pointer from 2 ft,GSW now leads 51-39
2016-11-01,False,POR,2,03:03,True,2,1,250,53,Made 2-pointer from 1 ft,GSW now leads 55-48
2016-11-01,False,POR,2,02:43,False,3,27,322,314,Missed 3-pointer from 27 ft,GSW leads 55-51
2016-11-01,False,POR,2,01:23,False,2,21,115,224,Missed 2-pointer from 21 ft,GSW leads 55-51
2016-11-01,False,POR,2,00:02,False,2,16,187,199,Missed 2-pointer from 16 ft,GSW leads 59-53
2016-11-01,False,POR,3,09:30,True,3,29,30,253,Made 3-pointer from 29 ft,GSW now leads 66-57
