,date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,cum_shot,game_time
168,2009-12-05 00:00:00,True,ORL,3,1900-01-01 00:09:35,False,2,18,4.0,26.416666666666664
169,2009-12-05 00:00:00,True,ORL,3,1900-01-01 00:02:27,True,2,12,5.0,33.55
170,2009-12-05 00:00:00,True,ORL,3,1900-01-01 00:00:40,False,3,23,5.0,35.333333333333336
171,2009-12-05 00:00:00,True,ORL,3,1900-01-01 00:00:01,False,2,21,5.0,35.983333333333334
172,2009-12-05 00:00:00,True,ORL,4,1900-01-01 00:11:41,True,2,2,6.0,36.31666666666666
173,2009-12-05 00:00:00,True,ORL,4,1900-01-01 00:09:13,False,3,27,6.0,38.78333333333333
174,2009-12-05 00:00:00,True,ORL,4,1900-01-01 00:08:25,False,2,17,6.0,39.58333333333333
221,2009-12-14 00:00:00,False,PHI,1,1900-01-01 00:05:43,False,2,21,0.0,6.283333333333333
222,2009-12-14 00:00:00,False,PHI,1,1900-01-01 00:03:48,False,3,26,0.0,8.2
223,2009-12-14 00:00:00,False,PHI,2,1900-01-01 00:01:25,True,2,0,1.0,22.583333333333332
224,2009-12-14 00:00:00,False,PHI,2,1900-01-01 00:00:39,True,2,18,2.0,23.35
225,2009-12-14 00:00:00,False,PHI,2,1900-01-01 00:00:12,False,2,19,2.0,23.8
226,2009-12-14 00:00:00,False,PHI,3,1900-01-01 00:10:46,False,3,25,2.0,25.233333333333334
227,2009-12-14 00:00:00,False,PHI,3,1900-01-01 00:09:58,False,2,8,2.0,26.03333333333333
228,2009-12-14 00:00:00,False,PHI,3,1900-01-01 00:06:59,False,2,0,2.0,29.016666666666666
229,2009-12-14 00:00:00,False,PHI,3,1900-01-01 00:04:34,False,3,25,2.0,31.433333333333334
230,2009-12-14 00:00:00,False,PHI,3,1900-01-01 00:03:45,False,2,18,2.0,32.25
231,2009-12-14 00:00:00,False,PHI,3,1900-01-01 00:00:53,True,3,23,3.0,35.11666666666667
232,2009-12-14 00:00:00,False,PHI,4,1900-01-01 00:04:54,True,2,0,4.0,43.1
233,2009-12-14 00:00:00,False,PHI,4,1900-01-01 00:01:17,True,2,0,5.0,46.71666666666667
245,2009-12-18 00:00:00,True,WAS,1,1900-01-01 00:10:18,True,2,22,1.0,1.6999999999999993
246,2009-12-18 00:00:00,True,WAS,1,1900-01-01 00:09:20,True,2,21,2.0,2.666666666666666
247,2009-12-18 00:00:00,True,WAS,1,1900-01-01 00:08:51,True,3,24,3.0,3.1500000000000004
248,2009-12-18 00:00:00,True,WAS,1,1900-01-01 00:06:25,True,2,7,4.0,5.583333333333333
249,2009-12-18 00:00:00,True,WAS,1,1900-01-01 00:05:28,True,3,25,5.0,6.533333333333333
250,2009-12-18 00:00:00,True,WAS,1,1900-01-01 00:05:09,False,3,27,5.0,6.85
251,2009-12-18 00:00:00,True,WAS,1,1900-01-01 00:02:40,False,2,2,5.0,9.333333333333334
252,2009-12-18 00:00:00,True,WAS,2,1900-01-01 00:08:10,False,2,10,5.0,15.833333333333332
253,2009-12-18 00:00:00,True,WAS,2,1900-01-01 00:07:46,False,2,18,5.0,16.233333333333334
254,2009-12-18 00:00:00,True,WAS,2,1900-01-01 00:05:39,True,3,26,6.0,18.35
255,2009-12-18 00:00:00,True,WAS,2,1900-01-01 00:05:39,False,2,22,6.0,18.35
256,2009-12-18 00:00:00,True,WAS,3,1900-01-01 00:06:56,True,2,22,7.0,29.066666666666666
257,2009-12-18 00:00:00,True,WAS,3,1900-01-01 00:04:15,True,3,28,8.0,31.75
258,2009-12-18 00:00:00,True,WAS,4,1900-01-01 00:11:33,False,3,23,8.0,36.45
259,2009-12-18 00:00:00,True,WAS,4,1900-01-01 00:07:10,True,3,27,9.0,40.833333333333336
260,2009-12-18 00:00:00,True,WAS,4,1900-01-01 00:05:47,False,3,23,9.0,42.21666666666667
261,2009-12-18 00:00:00,True,WAS,4,1900-01-01 00:00:10,False,3,27,9.0,47.833333333333336
314,2010-01-02 00:00:00,False,POR,1,1900-01-01 00:10:21,False,2,0,0.0,1.6500000000000004
315,2010-01-02 00:00:00,False,POR,1,1900-01-01 00:09:36,True,3,24,1.0,2.4000000000000004
316,2010-01-02 00:00:00,False,POR,1,1900-01-01 00:04:58,True,2,0,2.0,7.033333333333333
317,2010-01-02 00:00:00,False,POR,2,1900-01-01 00:03:30,False,2,19,2.0,20.5
318,2010-01-02 00:00:00,False,POR,2,1900-01-01 00:02:57,True,2,19,3.0,21.05
319,2010-01-02 00:00:00,False,POR,4,1900-01-01 00:11:40,False,3,26,3.0,36.333333333333336
320,2010-01-02 00:00:00,False,POR,4,1900-01-01 00:10:22,False,2,23,3.0,37.63333333333333
321,2010-01-02 00:00:00,False,POR,4,1900-01-01 00:07:11,True,2,11,4.0,40.81666666666666
322,2010-01-02 00:00:00,False,POR,4,1900-01-01 00:05:53,False,2,18,4.0,42.11666666666667
