,date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,cum_shot,game_time
140,2009-11-30 00:00:00,True,IND,4,1900-01-01 00:00:18,True,3,27,2.0,47.7
175,2009-12-07 00:00:00,False,OKC,1,1900-01-01 00:07:14,True,2,18,1.0,4.766666666666667
176,2009-12-07 00:00:00,False,OKC,1,1900-01-01 00:02:10,False,3,24,1.0,9.833333333333334
177,2009-12-07 00:00:00,False,OKC,1,1900-01-01 00:01:53,True,2,18,2.0,10.116666666666667
178,2009-12-07 00:00:00,False,OKC,2,1900-01-01 00:10:50,False,2,0,2.0,13.166666666666666
179,2009-12-07 00:00:00,False,OKC,2,1900-01-01 00:05:01,True,2,0,3.0,18.983333333333334
180,2009-12-07 00:00:00,False,OKC,2,1900-01-01 00:04:24,True,2,0,4.0,19.6
181,2009-12-07 00:00:00,False,OKC,3,1900-01-01 00:09:59,True,3,24,5.0,26.016666666666666
182,2009-12-07 00:00:00,False,OKC,3,1900-01-01 00:00:33,False,2,23,5.0,35.45
183,2009-12-07 00:00:00,False,OKC,4,1900-01-01 00:10:55,True,2,21,6.0,37.083333333333336
184,2009-12-07 00:00:00,False,OKC,4,1900-01-01 00:09:02,False,2,16,6.0,38.96666666666667
185,2009-12-07 00:00:00,False,OKC,4,1900-01-01 00:08:37,True,2,0,7.0,39.38333333333333
186,2009-12-07 00:00:00,False,OKC,4,1900-01-01 00:03:55,True,3,24,8.0,44.083333333333336
187,2009-12-07 00:00:00,False,OKC,4,1900-01-01 00:03:31,False,3,25,8.0,44.483333333333334
188,2009-12-07 00:00:00,False,OKC,4,1900-01-01 00:00:48,True,2,0,9.0,47.2
202,2009-12-11 00:00:00,False,CHI,1,1900-01-01 00:06:34,False,3,25,0.0,5.433333333333334
203,2009-12-11 00:00:00,False,CHI,1,1900-01-01 00:06:12,False,2,0,0.0,5.8
204,2009-12-11 00:00:00,False,CHI,1,1900-01-01 00:01:36,True,2,22,1.0,10.4
205,2009-12-11 00:00:00,False,CHI,1,1900-01-01 00:01:07,False,3,26,1.0,10.883333333333333
206,2009-12-11 00:00:00,False,CHI,3,1900-01-01 00:11:43,True,2,11,2.0,24.28333333333333
207,2009-12-11 00:00:00,False,CHI,3,1900-01-01 00:06:14,False,3,25,2.0,29.766666666666666
208,2009-12-11 00:00:00,False,CHI,3,1900-01-01 00:04:12,False,2,23,2.0,31.8
209,2009-12-11 00:00:00,False,CHI,3,1900-01-01 00:03:22,False,2,21,2.0,32.63333333333333
210,2009-12-11 00:00:00,False,CHI,3,1900-01-01 00:03:22,True,2,0,3.0,32.63333333333333
234,2009-12-16 00:00:00,True,SAS,1,1900-01-01 00:09:54,True,2,19,1.0,2.0999999999999996
235,2009-12-16 00:00:00,True,SAS,1,1900-01-01 00:01:46,False,2,16,1.0,10.233333333333334
236,2009-12-16 00:00:00,True,SAS,1,1900-01-01 00:01:03,True,2,17,2.0,10.95
237,2009-12-16 00:00:00,True,SAS,1,1900-01-01 00:00:31,False,3,23,2.0,11.483333333333333
238,2009-12-16 00:00:00,True,SAS,2,1900-01-01 00:10:25,False,2,6,2.0,13.583333333333334
239,2009-12-16 00:00:00,True,SAS,3,1900-01-01 00:06:52,True,2,21,3.0,29.133333333333333
240,2009-12-16 00:00:00,True,SAS,3,1900-01-01 00:05:47,False,3,28,3.0,30.21666666666667
241,2009-12-16 00:00:00,True,SAS,3,1900-01-01 00:02:06,False,2,11,3.0,33.9
242,2009-12-16 00:00:00,True,SAS,3,1900-01-01 00:01:31,False,2,2,3.0,34.483333333333334
243,2009-12-16 00:00:00,True,SAS,3,1900-01-01 00:01:31,False,2,8,3.0,34.483333333333334
244,2009-12-16 00:00:00,True,SAS,4,1900-01-01 00:00:48,True,2,10,4.0,47.2
262,2009-12-22 00:00:00,False,MEM,1,1900-01-01 00:09:55,True,2,0,1.0,2.083333333333334
263,2009-12-22 00:00:00,False,MEM,1,1900-01-01 00:07:57,True,2,20,2.0,4.049999999999999
264,2009-12-22 00:00:00,False,MEM,1,1900-01-01 00:05:09,False,3,27,2.0,6.85
265,2009-12-22 00:00:00,False,MEM,1,1900-01-01 00:04:38,True,2,0,3.0,7.366666666666666
266,2009-12-22 00:00:00,False,MEM,1,1900-01-01 00:02:09,True,2,15,4.0,9.85
267,2009-12-22 00:00:00,False,MEM,1,1900-01-01 00:00:33,False,3,27,4.0,11.45
268,2009-12-22 00:00:00,False,MEM,2,1900-01-01 00:10:52,False,2,20,4.0,13.133333333333333
269,2009-12-22 00:00:00,False,MEM,2,1900-01-01 00:02:26,False,2,18,4.0,21.566666666666666
270,2009-12-22 00:00:00,False,MEM,3,1900-01-01 00:10:46,False,2,0,4.0,25.233333333333334
271,2009-12-22 00:00:00,False,MEM,3,1900-01-01 00:05:03,True,3,25,5.0,30.95
272,2009-12-22 00:00:00,False,MEM,3,1900-01-01 00:02:36,False,3,27,5.0,33.4
273,2009-12-22 00:00:00,False,MEM,3,1900-01-01 00:00:47,False,2,0,5.0,35.21666666666667
274,2009-12-22 00:00:00,False,MEM,4,1900-01-01 00:07:00,True,3,24,6.0,41.0
275,2009-12-22 00:00:00,False,MEM,4,1900-01-01 00:04:37,False,3,26,6.0,43.38333333333333
276,2009-12-22 00:00:00,False,MEM,4,1900-01-01 00:01:37,False,2,0,6.0,46.38333333333333
300,2009-12-28 00:00:00,True,BOS,1,1900-01-01 00:10:32,False,2,22,0.0,1.4666666666666668
301,2009-12-28 00:00:00,True,BOS,1,1900-01-01 00:10:10,False,2,4,0.0,1.833333333333334
302,2009-12-28 00:00:00,True,BOS,1,1900-01-01 00:08:37,False,3,28,0.0,3.383333333333333
303,2009-12-28 00:00:00,True,BOS,1,1900-01-01 00:07:13,False,2,13,0.0,4.783333333333333
373,2010-01-13 00:00:00,True,MIA,1,1900-01-01 00:08:37,False,2,14,0.0,3.383333333333333
374,2010-01-13 00:00:00,True,MIA,1,1900-01-01 00:00:57,False,3,27,0.0,11.05
375,2010-01-13 00:00:00,True,MIA,2,1900-01-01 00:02:45,False,3,26,0.0,21.25
376,2010-01-13 00:00:00,True,MIA,3,1900-01-01 00:10:56,True,3,26,1.0,25.066666666666666
377,2010-01-13 00:00:00,True,MIA,3,1900-01-01 00:07:08,False,2,20,1.0,28.866666666666667
378,2010-01-13 00:00:00,True,MIA,3,1900-01-01 00:06:42,False,2,19,1.0,29.3
379,2010-01-13 00:00:00,True,MIA,3,1900-01-01 00:03:52,False,2,2,1.0,32.13333333333333
380,2010-01-13 00:00:00,True,MIA,3,1900-01-01 00:02:20,True,3,24,2.0,33.666666666666664
381,2010-01-13 00:00:00,True,MIA,3,1900-01-01 00:00:38,True,3,26,3.0,35.36666666666667
382,2010-01-13 00:00:00,True,MIA,4,1900-01-01 00:10:36,False,2,5,3.0,37.4
383,2010-01-15 00:00:00,True,MIL,1,1900-01-01 00:11:21,True,2,9,1.0,0.6500000000000004
384,2010-01-15 00:00:00,True,MIL,1,1900-01-01 00:10:57,True,2,2,2.0,1.0500000000000007
385,2010-01-15 00:00:00,True,MIL,1,1900-01-01 00:08:57,False,2,20,2.0,3.0500000000000007
386,2010-01-15 00:00:00,True,MIL,1,1900-01-01 00:02:00,False,3,25,2.0,10.0
387,2010-01-15 00:00:00,True,MIL,2,1900-01-01 00:08:21,True,2,2,3.0,15.649999999999999
