"Date","Team","Opponent","Minutes","Assists","AssistPoints","2ptAssists","3ptAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"2017-03-31","GSW","HOU","34:46",5,11,4,1,4,0,0,0,1
"2017-03-29","GSW","SAS","35:08",11,25,8,3,4,1,3,2,1
"2017-03-28","GSW","HOU","33:26",7,17,4,3,3,1,0,2,1
"2017-03-26","GSW","MEM","36:19",11,26,7,4,4,1,2,2,2
"2017-03-24","GSW","SAC","33:14",12,26,10,2,10,0,0,1,1
"2017-03-21","GSW","DAL","29:45",9,23,4,5,4,0,0,4,1
"2017-03-20","GSW","OKC","29:53",6,15,3,3,3,0,0,1,2
"2017-03-18","GSW","MIL","30:17",4,10,2,2,1,1,0,2,0
"2017-03-16","GSW","ORL","28:07",9,20,7,2,6,1,0,0,2
"2017-03-14","GSW","PHI","37:25",5,12,3,2,2,0,1,0,2
"2017-03-10","GSW","MIN","35:18",7,15,6,1,6,0,0,0,1
"2017-03-08","GSW","BOS","35:20",6,14,4,2,2,1,1,0,2
"2017-03-06","GSW","ATL","34:31",9,23,4,5,3,0,1,4,1
"2017-03-05","GSW","NYK","36:51",6,15,3,3,2,1,0,1,2
"2017-03-02","GSW","CHI","35:28",5,12,3,2,3,0,0,1,1
"2017-02-28","GSW","WAS","34:14",4,8,4,0,2,2,0,0,0
"2017-02-27","GSW","PHI","34:48",6,12,6,0,6,0,0,0,0
"2017-02-25","GSW","BKN","34:55",5,12,3,2,3,0,0,0,2
"2017-02-23","GSW","LAC","32:11",5,11,4,1,2,0,2,0,1
"2017-02-15","GSW","SAC","30:03",9,21,6,3,5,1,0,2,1
"2017-02-13","GSW","DEN","26:42",5,11,4,1,4,0,0,0,1
"2017-02-11","GSW","OKC","33:54",9,21,6,3,4,0,2,1,2
"2017-02-10","GSW","MEM","34:52",5,12,3,2,3,0,0,1,1
"2017-02-08","GSW","CHI","28:12",6,14,4,2,3,1,0,2,0
"2017-02-04","GSW","SAC","41:45",9,22,5,4,5,0,0,1,3
"2017-02-02","GSW","LAC","37:26",11,25,8,3,4,1,3,2,1
"2017-02-01","GSW","CHA","30:16",8,18,6,2,3,1,2,1,1
"2017-01-28","GSW","LAC","28:57",6,13,5,1,3,0,2,0,1
"2017-01-25","GSW","CHA","36:16",7,16,5,2,3,0,2,0,2
"2017-01-23","GSW","MIA","36:31",8,18,6,2,5,0,1,0,2
"2017-01-22","GSW","ORL","29:33",6,13,5,1,4,1,0,0,1
"2017-01-20","GSW","HOU","32:57",7,16,5,2,5,0,0,0,2
"2017-01-18","GSW","OKC","34:11",8,20,4,4,3,1,0,1,3
"2017-01-16","GSW","CLE","30:55",11,26,7,4,5,0,2,2,2
"2017-01-12","GSW","DET","29:51",7,20,1,6,1,0,0,2,4
"2017-01-10","GSW","MIA","35:43",9,20,7,2,5,1,1,1,1
"2017-01-08","GSW","SAC","37:06",6,14,4,2,4,0,0,0,2
"2017-01-06","GSW","MEM","42:13",6,13,5,1,2,3,0,0,1
"2017-01-04","GSW","POR","35:55",5,13,2,3,2,0,0,2,1
"2017-01-02","GSW","DEN","35:03",5,11,4,1,4,0,0,0,1
"2016-12-30","GSW","DAL","30:09",5,11,4,1,3,0,1,0,1
"2016-12-28","GSW","TOR","36:19",7,18,3,4,1,1,1,0,4
"2016-12-25","GSW","CLE","37:20",3,8,1,2,1,0,0,2,0
"2016-12-23","GSW","DET","35:00",8,20,4,4,3,0,1,0,4
"2016-12-22","GSW","BKN","32:58",7,15,6,1,5,0,1,0,1
"2016-12-20","GSW","UTA","30:13",4,9,3,1,1,2,0,0,1
"2016-12-17","GSW","POR","27:14",6,13,5,1,2,1,2,0,1
"2016-12-15","GSW","NYK","33:50",8,19,5,3,3,1,1,1,2
"2016-12-13","GSW","NOP","34:07",7,16,5,2,4,0,1,0,2
"2016-12-11","GSW","MIN","31:35",9,23,4,5,3,0,1,0,5
"2016-12-10","GSW","MEM","30:35",3,6,3,0,1,1,1,0,0
"2016-12-08","GSW","UTA","35:34",2,6,0,2,0,0,0,1,1
"2016-12-07","GSW","LAC","33:17",6,13,5,1,4,1,0,0,1
"2016-12-05","GSW","IND","29:10",11,24,9,2,8,0,1,0,2
"2016-12-03","GSW","PHX","29:51",1,2,1,0,1,0,0,0,0
"2016-12-01","GSW","HOU","38:23",5,11,4,1,4,0,0,0,1
"2016-11-28","GSW","ATL","38:14",3,7,2,1,0,2,0,0,1
"2016-11-26","GSW","MIN","37:09",6,14,4,2,3,1,0,0,2
"2016-11-25","GSW","LAL","35:36",5,10,5,0,3,1,1,0,0
"2016-11-23","GSW","LAL","28:44",9,21,6,3,2,1,3,1,2
"2016-11-21","GSW","IND","29:30",6,15,3,3,3,0,0,1,2
"2016-11-19","GSW","MIL","34:42",5,13,2,3,2,0,0,1,2
"2016-11-18","GSW","BOS","36:18",8,19,5,3,3,0,2,0,3
"2016-11-16","GSW","TOR","37:22",7,15,6,1,5,1,0,0,1
"2016-11-13","GSW","PHX","36:47",6,14,4,2,2,1,1,0,2
"2016-11-10","GSW","DEN","29:56",6,13,5,1,4,1,0,0,1
"2016-11-09","GSW","DAL","30:50",6,14,4,2,2,0,2,2,0
"2016-11-07","GSW","NOP","35:39",5,11,4,1,2,1,1,1,0
"2016-11-04","GSW","LAL","31:06",10,22,8,2,8,0,0,0,2
"2016-11-03","GSW","OKC","30:03",7,17,4,3,3,0,1,0,3
"2016-11-01","GSW","POR","29:29",3,6,3,0,2,0,1,0,0
"2016-10-30","GSW","PHX","34:13",3,6,3,0,2,0,1,0,0
"2016-10-28","GSW","NOP","34:04",8,17,7,1,6,0,1,0,1
"2016-10-25","GSW","SAS","34:06",4,8,4,0,3,1,0,0,0
