"Date","Team","Opponent","Minutes","Assists","AssistPoints","2ptAssists","3ptAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"2015-02-27","GSW","TOR","25:01",5,13,2,3,1,0,1,1,2
"2015-02-26","GSW","CLE","33:50",6,13,5,1,4,1,0,0,1
"2015-02-24","GSW","WAS","33:50",8,17,7,1,2,2,3,1,0
"2015-02-20","GSW","SAS","31:53",11,26,7,4,4,0,3,2,2
"2015-02-11","GSW","MIN","35:30",8,17,7,1,4,3,0,1,0
"2015-02-09","GSW","PHI","31:46",6,12,6,0,3,1,2,0,0
"2015-02-07","GSW","NYK","31:19",0,0,0,0,0,0,0,0,0
"2015-02-06","GSW","ATL","36:12",9,20,7,2,2,5,0,1,1
"2015-02-04","GSW","DAL","36:57",4,11,1,3,1,0,0,1,2
"2015-02-03","GSW","SAC","28:35",9,19,8,1,4,1,3,0,1
"2015-01-31","GSW","PHX","37:28",7,17,4,3,4,0,0,2,1
"2015-01-30","GSW","UTA","33:59",6,12,6,0,6,0,0,0,0
"2015-01-27","GSW","CHI","42:58",9,20,7,2,4,2,1,0,2
"2015-01-25","GSW","BOS","33:03",11,23,10,1,7,2,1,0,1
"2015-01-23","GSW","SAC","29:03",11,29,4,7,2,1,1,1,6
"2015-01-21","GSW","HOU","33:39",10,26,4,6,2,0,2,2,4
"2015-01-19","GSW","DEN","25:14",8,19,5,3,3,2,0,2,1
"2015-01-17","GSW","HOU","33:00",11,26,7,4,5,1,1,2,2
"2015-01-16","GSW","OKC","31:12",6,15,3,3,0,1,2,2,1
"2015-01-14","GSW","MIA","32:06",3,7,2,1,1,1,0,0,1
"2015-01-13","GSW","UTA","29:13",11,26,7,4,5,0,2,0,4
"2015-01-09","GSW","CLE","35:00",10,23,7,3,1,1,5,2,1
"2015-01-07","GSW","IND","34:47",15,36,9,6,4,2,3,2,4
"2015-01-05","GSW","OKC","31:17",6,16,2,4,2,0,0,2,2
"2015-01-02","GSW","TOR","33:56",12,29,7,5,4,2,1,1,4
"2014-12-30","GSW","PHI","26:43",9,21,6,3,5,0,1,2,1
"2014-12-27","GSW","MIN","30:32",6,14,4,2,3,1,0,1,1
"2014-12-25","GSW","LAC","35:59",7,16,5,2,4,1,0,0,2
"2014-12-23","GSW","LAL","29:58",6,16,2,4,1,1,0,1,3
"2014-12-22","GSW","SAC","26:18",11,23,10,1,4,3,3,0,1
"2014-12-18","GSW","OKC","41:31",9,20,7,2,2,3,2,0,2
"2014-12-16","GSW","MEM","38:57",6,13,5,1,3,1,1,0,1
"2014-12-14","GSW","NOP","39:55",7,17,4,3,4,0,0,3,0
"2014-12-13","GSW","DAL","37:11",8,19,5,3,3,2,0,0,3
"2014-12-10","GSW","HOU","37:28",7,14,7,0,5,1,1,0,0
"2014-12-08","GSW","MIN","31:20",7,16,5,2,3,0,2,1,1
"2014-12-06","GSW","CHI","36:11",7,17,4,3,3,1,0,0,3
"2014-12-04","GSW","NOP","30:37",11,25,8,3,5,1,2,1,2
"2014-12-02","GSW","ORL","36:28",5,11,4,1,3,0,1,0,1
"2014-11-30","GSW","DET","28:22",10,25,5,5,4,1,0,1,4
"2014-11-28","GSW","CHA","32:20",6,13,5,1,4,0,1,1,0
"2014-11-26","GSW","ORL","23:38",8,18,6,2,5,0,1,0,2
"2014-11-25","GSW","MIA","37:05",7,15,6,1,6,0,0,0,1
"2014-11-23","GSW","OKC","38:07",6,14,4,2,2,0,2,1,1
"2014-11-21","GSW","UTA","24:30",10,20,10,0,8,1,1,0,0
"2014-11-16","GSW","LAL","29:56",15,34,11,4,7,3,1,0,4
"2014-11-15","GSW","CHA","28:18",9,20,7,2,6,1,0,1,1
"2014-11-13","GSW","BKN","31:56",5,11,4,1,3,1,0,0,1
"2014-11-11","GSW","SAS","35:46",5,10,5,0,0,2,3,0,0
"2014-11-09","GSW","PHX","34:04",10,23,7,3,4,1,2,1,2
"2014-11-08","GSW","HOU","39:58",5,10,5,0,4,1,0,0,0
"2014-11-05","GSW","LAC","33:49",7,17,4,3,3,1,0,0,3
"2014-11-02","GSW","POR","30:49",6,14,4,2,4,0,0,1,1
"2014-11-01","GSW","LAL","34:06",10,24,6,4,5,1,0,3,1
"2014-10-29","GSW","SAC","36:33",5,11,4,1,3,0,1,1,0
"2016-04-13","GSW","MEM","29:47",6,14,4,2,3,0,1,1,1
"2016-04-10","GSW","SAS","35:22",5,12,3,2,3,0,0,0,2
"2016-04-09","GSW","MEM","33:59",8,18,6,2,5,1,0,1,1
"2016-04-07","GSW","SAS","36:17",9,21,6,3,5,0,1,0,3
"2016-04-05","GSW","MIN","42:35",15,31,14,1,11,3,0,0,1
"2016-04-03","GSW","POR","34:36",7,16,5,2,3,1,1,1,1
"2016-04-01","GSW","BOS","36:37",6,16,2,4,2,0,0,2,2
"2016-03-30","GSW","UTA","42:16",4,10,2,2,2,0,0,1,1
"2016-03-29","GSW","WAS","34:42",7,18,3,4,1,1,1,0,4
"2016-03-27","GSW","PHI","33:12",8,18,6,2,3,0,3,0,2
"2016-03-25","GSW","DAL","35:11",8,18,6,2,4,1,1,0,2
"2016-03-23","GSW","LAC","37:26",5,12,3,2,3,0,0,1,1
"2016-03-21","GSW","MIN","34:50",11,26,7,4,7,0,0,0,4
"2016-03-19","GSW","SAS","37:36",6,13,5,1,4,1,0,0,1
"2016-03-18","GSW","DAL","34:19",10,25,5,5,2,1,2,1,4
"2016-03-16","GSW","NYK","28:22",4,8,4,0,4,0,0,0,0
"2016-03-14","GSW","NOP","31:18",5,11,4,1,3,0,1,0,1
"2016-03-12","GSW","PHX","34:59",6,14,4,2,4,0,0,1,1
"2016-03-11","GSW","POR","29:26",4,11,1,3,0,0,1,0,3
"2016-03-09","GSW","UTA","31:31",10,22,8,2,6,1,1,0,2
"2016-03-07","GSW","ORL","37:20",3,7,2,1,2,0,0,0,1
"2016-03-06","GSW","LAL","34:17",4,9,3,1,3,0,0,0,1
"2016-03-03","GSW","OKC","37:11",4,9,3,1,1,1,1,1,0
"2016-02-27","GSW","OKC","37:42",6,13,5,1,5,0,0,1,0
"2016-02-25","GSW","ORL","34:02",8,18,6,2,5,1,0,0,2
"2016-02-24","GSW","MIA","35:35",7,16,5,2,4,0,1,0,2
"2016-02-22","GSW","ATL","35:48",8,19,5,3,5,0,0,2,1
"2016-02-20","GSW","LAC","35:30",9,19,8,1,6,1,1,0,1
